S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
17.0,20.0,3.0,13.0,0.0,17.0,1.3333333333333333,9.0,3.0,3.0,11.333333333333334,29.0,0.0,58.0,3.0,3.0,0.0,7.0,10.981481481481481,379.43106995884773,12.878787878787877,17.0,13.0,5.2
28.0,17.0,13.0,10.0,0.0,6.0,3.0,14.333333333333334,1.3333333333333333,3.0,3.0,23.0,3.0,27.0,3.0,3.0,0.0,7.0,9.148148148148147,209.35596707818925,9.393939393939394,6.0,10.0,9.066666666666666
7.0,7.0,6.0,3.0,62.0,24.0,3.0,26.0,7.0,5.0,0.0,16.0,19.0,3.0,11.0,3.0,0.0,0.0,11.222222222222223,629.9074074074074,8.181818181818182,24.0,3.0,17.0
10.0,7.0,12.0,3.0,17.0,6.0,1.3333333333333333,26.0,7.0,10.0,5.0,14.0,6.0,14.0,14.0,3.0,0.0,10.0,9.185185185185185,150.2119341563786,9.757575757575758,6.0,3.0,9.8
16.0,3.0,31.0,10.0,3.0,6.0,9.0,18.0,3.3333333333333335,0.0,3.0,12.666666666666666,12.0,14.0,3.0,6.0,0.0,13.0,9.055555555555555,184.86522633744858,7.969696969696969,6.0,10.0,11.866666666666667
22.0,0.0,22.0,10.0,6.0,3.0,30.0,9.0,0.0,4.333333333333333,22.0,8.0,7.333333333333333,3.0,0.0,50.0,0.0,9.0,11.425925925925926,388.51954732510285,8.424242424242424,3.0,10.0,20.0
19.0,0.0,229.0,14533.0,9.0,7.0,10.333333333333334,6.0,0.0,12.0,26.333333333333332,9.0,9.0,3.0,0.0,47.0,0.0,3.0,829.0370370370371,17146345.625514403,7.151515151515152,7.0,14533.0,60.8
88.0,3.0,265.0,20976.666666666668,65.0,3.0,3.0,0.0,0.0,9.0,6.0,9.0,15.0,17.0,0.0,0.0,0.0,3.0,1192.3703703703702,37523247.6563786,5.909090909090909,3.0,20976.666666666668,83.6
2002.0,3.0,2961.0,38783.0,345.0,6.0,15.0,9.0,11.0,6.0,6.0,6.0,22.0,6.0,0.0,0.0,0.0,3.0,2454.6666666666665,107388298.98148149,6.909090909090909,6.0,38783.0,1063.8
1725.0,19.0,9433.0,15968.0,19.0,13.0,18.0,9.0,11.0,3.0,2.6666666666666665,9.0,6.0,3.0,3.0,3.0,0.0,0.0,1513.5925925925924,29198362.063786015,6.6060606060606055,13.0,15968.0,2238.2
865.0,25.0,8542.0,25444.333333333332,22.0,3367.0,21.0,7.333333333333333,11.0,0.0,7.0,189.33333333333334,9.0,3.0,0.0,3.0,0.0,0.0,2139.777777777778,59438762.32510289,23.78787878787879,3367.0,25444.333333333332,1888.6
4825.0,9.0,9526.0,18153.666666666668,832.0,5742.0,24.0,6.0,13.0,3.0,33.0,386.3333333333333,8.666666666666666,6.0,18.0,0.0,0.0,0.0,2199.203703703704,36861295.498971194,44.90909090909091,5742.0,18153.666666666668,3039.2
4553.0,37.0,2512.0,33787.333333333336,2930.0,15898.0,31.333333333333332,6.0,13.0,30.0,57.0,454.3333333333333,71.0,3.0,18.0,10.0,0.0,0.0,3356.1666666666665,104697210.41666667,64.33333333333333,15898.0,33787.333333333336,2003.6
2059.0,6.0,3173.0,37252.666666666664,4639.0,16649.0,55.0,26.333333333333332,77.0,131.0,76.0,560.0,52.0,69.0,0.0,13.0,0.0,3.0,3602.2777777777774,108465191.74176951,88.93939393939394,16649.0,37252.666666666664,1992.2
2815.0,12.0,3187.0,15630.666666666666,2133.0,15786.0,135.0,57.0,265.0,569.6666666666666,90.0,745.3333333333334,12.0,62.0,0.0,3.0,0.0,3.0,2305.8703703703704,30833582.912551444,153.27272727272728,15786.0,15630.666666666666,1680.6
3217.0,113.0,2108.0,16815.0,850.0,11910.0,148.33333333333334,46.0,265.0,702.0,236.33333333333334,866.3333333333334,9.0,37.0,0.0,3.0,0.0,0.0,2073.6666666666665,34935126.35596707,196.1818181818182,11910.0,16815.0,1288.6
2285.0,38.0,1751.0,12537.0,2990.0,16247.0,157.0,167.33333333333334,368.6666666666667,727.0,394.0,661.6666666666666,28.0,17.0,3.0,12.0,0.0,0.0,2132.4259259259256,39636272.46193416,199.36363636363637,16247.0,12537.0,1481.3333333333335
2672.0,53.0,2229.0,5984.0,2184.0,21232.0,199.0,443.0,319.0,681.0,444.0,433.3333333333333,96.33333333333333,54.0,10.0,22.0,0.0,0.0,2058.6481481481483,64574586.49485597,219.42424242424246,21232.0,5984.0,1485.2
2269.0,49.0,2194.0,5293.0,934.0,12546.0,407.3333333333333,375.0,319.0,572.0,387.3333333333333,424.6666666666667,189.0,158.0,14.0,25.0,0.0,3.0,1453.2962962962963,22091067.493827168,234.48484848484847,12546.0,5293.0,1148.2
997.0,203.0,1676.0,3226.0,1371.0,6048.0,559.0,297.3333333333333,405.3333333333333,653.0,408.0,457.3333333333333,244.0,266.0,13.0,15.0,0.0,3.0,935.6666666666666,4841532.611111111,282.1515151515151,6048.0,3226.0,892.8666666666666
888.0,249.0,1293.0,1920.0,543.0,3806.0,564.0,608.0,441.0,604.6666666666666,386.0,466.3333333333333,218.33333333333334,214.0,27.0,6.0,0.0,0.0,679.6851851851852,1761774.9783950616,303.39393939393943,3806.0,1920.0,634.2
934.0,358.0,926.0,1205.0,400.0,1608.0,455.3333333333333,578.0,441.0,504.0,395.6666666666667,453.3333333333333,325.0,256.0,30.0,21.0,0.0,0.0,493.9074074074074,326179.712962963,305.03030303030306,1608.0,1205.0,544.4
629.0,433.0,780.0,782.0,337.0,1018.0,381.0,575.0,448.3333333333333,501.0,320.0,362.0,347.0,267.0,85.0,36.0,0.0,0.0,405.6296296296296,122818.00205761316,297.3636363636364,1018.0,782.0,446.0666666666667
650.0,354.0,691.0,641.0,294.0,946.0,389.0,516.0,495.0,465.3333333333333,272.0,340.0,351.3333333333333,346.0,103.0,27.0,0.0,0.0,382.2592592592593,104566.39300411519,285.1515151515151,946.0,641.0,431.4
715.0,332.0,834.0,433.0,256.0,1026.0,338.3333333333333,552.0,495.0,518.0,313.3333333333333,386.6666666666667,322.0,400.0,30.0,68.0,0.0,0.0,389.962962962963,106073.79012345681,290.2121212121212,1026.0,433.0,473.6
697.0,351.0,639.0,309.0,349.0,942.0,350.0,573.0,481.6666666666667,588.0,302.0,311.3333333333333,399.0,392.0,24.0,68.0,0.0,0.0,376.4444444444445,93580.61111111111,299.1212121212121,942.0,309.0,446.9333333333333
468.0,364.0,688.0,329.0,294.0,738.0,363.0,578.0,521.0,455.0,286.0,268.3333333333333,395.0,408.0,17.0,9.0,0.0,0.0,343.4074074074074,69740.57613168725,284.93939393939394,738.0,329.0,396.0
730.0,474.0,526.0,280.0,336.0,551.0,424.6666666666667,509.0,521.0,409.0,333.6666666666667,304.3333333333333,313.0,312.0,23.0,42.0,0.0,0.0,338.25925925925924,67322.67283950615,282.06060606060606,551.0,280.0,431.0
645.0,545.0,551.0,363.0,345.0,643.0,487.0,514.3333333333334,574.6666666666666,448.0,338.0,273.3333333333333,342.0,309.0,46.0,39.0,0.0,0.0,359.0740740740741,74533.27983539093,300.24242424242425,643.0,363.0,430.9333333333333
628.0,466.0,426.0,352.0,236.0,742.0,518.0,529.0,766.0,421.0,283.0,224.0,458.0,337.0,10.0,63.0,0.0,0.0,358.8333333333333,93429.41666666669,295.09090909090907,742.0,352.0,423.8
719.0,584.0,471.0,329.0,207.0,663.0,402.0,468.0,766.0,407.0,289.3333333333333,186.0,539.0,364.0,35.0,52.0,0.0,0.0,360.0740740740741,105580.11316872427,297.6666666666667,663.0,329.0,443.0
604.0,600.0,377.0,414.0,233.0,556.0,537.0,391.0,993.3333333333334,428.0,325.0,152.33333333333334,414.0,333.0,73.0,22.0,0.0,0.0,358.48148148148147,129084.05967078189,295.75757575757575,556.0,414.0,445.8666666666667
546.0,495.0,383.0,274.0,271.0,507.0,449.0,380.0,848.0,375.3333333333333,321.0,156.33333333333334,396.3333333333333,269.0,103.0,54.0,0.0,0.0,323.77777777777777,95841.42592592591,267.72727272727275,507.0,274.0,420.4
523.0,485.0,379.0,162.0,275.0,474.0,407.3333333333333,442.0,848.0,323.0,288.3333333333333,153.33333333333334,339.0,354.0,71.0,63.0,0.0,0.0,310.38888888888886,99188.65534979425,260.27272727272725,474.0,162.0,417.6
570.0,514.0,354.0,179.0,327.0,434.0,353.0,405.6666666666667,3266.3333333333335,258.0,293.0,141.66666666666666,340.0,334.0,38.0,30.0,0.0,0.0,435.4259259259259,1442953.7397119328,243.3939393939394,434.0,179.0,909.4666666666668
582.0,444.0,403.0,199.0,290.0,410.0,336.0,405.0,4972.0,216.0,213.0,127.33333333333333,299.6666666666667,366.0,64.0,18.0,0.0,6.0,519.5,3526416.077160491,225.1818181818182,410.0,199.0,1253.0
409.0,459.0,413.0,267.0,171.0,367.0,341.3333333333333,376.0,4972.0,250.0,175.33333333333334,155.33333333333334,307.0,365.0,63.0,96.0,0.0,6.0,510.72222222222223,3501819.865226337,227.0909090909091,367.0,267.0,1212.2
555.0,276.0,384.0,158.0,106.0,348.0,339.0,426.3333333333333,3202.6666666666665,310.0,198.0,190.0,292.0,334.0,125.0,119.0,0.0,0.0,409.0555555555555,1397254.5751028794,226.39393939393938,348.0,158.0,873.3333333333333
520.0,312.0,351.0,140.0,123.0,416.0,340.0,363.0,769.0,265.3333333333333,148.0,166.33333333333334,302.3333333333333,393.0,77.0,48.0,0.0,0.0,263.0,80090.36831275721,215.1818181818182,416.0,140.0,362.2
420.0,436.0,292.0,205.0,114.0,403.0,348.0,359.0,769.0,382.0,137.33333333333334,168.0,278.0,346.0,66.0,45.0,0.0,3.0,265.0740740740741,76802.52057613169,229.39393939393938,403.0,205.0,328.0
388.0,354.0,284.0,204.0,189.0,286.0,307.0,332.3333333333333,775.3333333333334,279.0,88.0,181.0,304.0,247.0,66.0,35.0,0.0,10.0,240.53703703703704,68211.25411522633,197.1212121212121,286.0,204.0,334.2666666666667
381.0,335.0,193.0,126.0,168.0,397.0,316.0,404.0,1785.0,261.0,139.0,150.0,295.3333333333333,278.0,31.0,35.0,0.0,0.0,294.1296296296296,393249.71502057626,200.84848484848482,397.0,126.0,512.4
431.0,358.0,180.0,95.0,188.0,337.0,343.3333333333333,358.0,1785.0,329.0,183.0,146.33333333333334,315.0,319.0,22.0,41.0,0.0,0.0,301.7037037037037,392037.8374485597,215.78787878787878,337.0,95.0,525.0
349.0,340.0,239.0,174.0,131.0,198.0,369.0,346.0,2627.3333333333335,293.0,150.0,175.33333333333334,288.0,351.0,63.0,34.0,0.0,0.0,340.4259259259259,937292.5072016463,215.9393939393939,198.0,174.0,676.0666666666667
390.0,386.0,278.0,204.0,182.0,215.0,370.0,333.0,1169.0,193.66666666666666,127.0,146.66666666666666,189.0,327.0,59.0,72.0,0.0,0.0,257.8518518518519,166536.21399176956,193.75757575757578,215.0,204.0,418.2
429.0,388.0,237.0,164.0,198.0,215.0,321.3333333333333,358.0,1169.0,359.0,98.33333333333333,117.0,195.0,369.0,45.0,86.0,0.0,3.0,263.98148148148147,170766.1121399177,204.87878787878788,215.0,164.0,423.8
337.0,257.0,260.0,110.0,182.0,280.0,207.0,268.0,918.3333333333334,304.0,89.0,135.66666666666666,241.0,320.0,32.0,64.0,0.0,3.0,222.66666666666666,105090.63374485595,168.78787878787878,280.0,110.0,352.2666666666667
340.0,321.0,258.0,144.0,124.0,320.0,210.0,225.0,1350.0,265.3333333333333,107.0,144.33333333333334,163.66666666666666,242.0,46.0,55.0,0.0,0.0,239.74074074074076,254529.49382716054,156.75757575757575,320.0,144.0,425.4
317.0,361.0,223.0,192.0,94.0,255.0,262.0,283.0,1350.0,175.0,166.0,150.0,186.0,302.0,23.0,18.0,0.0,3.0,242.2222222222222,248501.9444444445,173.72727272727272,255.0,192.0,400.4
392.0,322.0,170.0,130.0,100.0,217.0,249.0,320.0,962.0,168.0,174.0,160.0,169.0,212.0,12.0,31.0,0.0,6.0,210.7777777777778,119517.64814814815,162.9090909090909,217.0,130.0,331.0
355.0,349.0,257.0,88.0,130.0,153.0,243.0,340.0,1275.0,186.0,103.0,143.66666666666666,177.33333333333334,169.0,57.0,66.0,0.0,3.0,227.5,217493.2623456789,161.0,153.0,88.0,416.6
285.0,377.0,283.0,118.0,150.0,95.0,240.33333333333334,277.0,1275.0,178.0,110.0,124.33333333333333,189.0,306.0,38.0,43.0,0.0,3.0,227.3148148148148,214479.13683127562,167.51515151515153,95.0,118.0,407.2
228.0,271.0,200.0,149.0,110.0,103.0,169.0,225.33333333333334,737.6666666666666,126.0,63.0,136.33333333333334,179.0,288.0,27.0,25.0,0.0,3.0,168.9074074074074,64584.72119341566,135.24242424242425,103.0,149.0,260.1333333333333
250.0,199.0,108.0,105.0,162.0,126.0,219.0,274.0,567.0,111.33333333333333,59.0,147.33333333333334,181.33333333333334,222.0,47.0,9.0,0.0,6.0,155.16666666666666,38822.93930041152,133.27272727272728,126.0,105.0,219.2
308.0,246.0,94.0,93.0,189.0,102.0,217.33333333333334,240.0,567.0,172.0,119.33333333333333,120.33333333333333,232.0,199.0,83.0,69.0,0.0,17.0,170.44444444444443,38171.70781893003,149.63636363636363,102.0,93.0,245.4
