S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
29.0,10.0,0.0,25.0,6.0,12.0,6.0,90.0,3.0,41.666666666666664,30.666666666666668,6.333333333333333,41.0,39.0,9.0,15.0,0.0,3.0,20.37037037037037,823.0596707818928,22.666666666666664,25.0,11.666666666666666,12.0
28.0,20.0,6.0,48.0,3.0,18.0,24.0,91.0,29.333333333333332,55.0,6.0,3.0,41.0,24.0,3.0,12.0,3.0,10.0,23.574074074074076,1134.1039094650207,24.717948717948723,48.0,12.333333333333334,18.0
9.0,49.0,6.0,7.0,9.0,29.0,24.0,147.0,3.0,14.0,9.0,17.333333333333332,33.666666666666664,35.0,11.0,12.0,0.0,10.0,23.61111111111111,1682.0010288065844,28.076923076923077,7.0,8.0,29.0
38.0,43.0,15.0,0.0,12.0,10.0,27.0,108.0,3.0,14.0,6.0,32.0,21.0,52.0,11.0,3.0,0.0,10.0,22.5,1139.5277777777783,25.384615384615383,0.0,21.666666666666668,10.0
45.0,23.0,18.0,0.0,13.0,39.0,16.333333333333332,67.0,6.333333333333333,60.0,12.0,17.333333333333332,44.0,3.0,0.0,3.0,0.0,17.0,21.333333333333332,875.7448559670783,20.692307692307693,0.0,25.333333333333332,39.0
13.0,16.0,42.0,0.0,420.0,23.0,6.0,67.0,11.333333333333334,49.0,15.0,3.0,44.0,14.0,3.0,0.0,0.0,0.0,40.351851851851855,25456.536008230454,17.564102564102562,0.0,158.33333333333334,23.0
478.0,14.0,34.0,63.0,4561.0,3.0,8.666666666666666,50.0,20.0,33.0,11.666666666666666,5.0,0.0,46.0,3.0,0.0,0.0,3.0,296.29629629629636,3262665.7633744846,14.948717948717947,63.0,1691.0,3.0
2378.0,17.0,37.0,20191.0,1334.0,14.0,0.0,70.0,18.333333333333332,6.0,22.0,7.0,3.0,71.0,3.0,10.0,3.0,0.0,1343.5740740740741,45388312.58539092,17.717948717948715,20191.0,1249.6666666666667,14.0
3973.0,10.0,9.0,27810.333333333332,2630.0,31.0,12.0,91.0,5.0,3.0,19.0,8.666666666666666,6.0,26.0,3.0,13.0,0.0,3.0,1925.1666666666667,44155504.96399177,15.358974358974358,27810.333333333332,2204.0,31.0
2735.0,47.0,8140.0,20119.666666666668,3075.0,3809.0,24.0,89.0,0.0,10.0,0.0,11.0,6.0,20.0,0.0,3.0,0.0,20.0,2117.1481481481483,41501720.952674896,17.692307692307693,20119.666666666668,4650.0,3809.0
2035.0,36.0,1755.0,12841.666666666666,3218.0,2202.0,37.333333333333336,186.0,1.3333333333333333,32.0,6.0,111.0,15.0,21.333333333333332,0.0,19.0,0.0,27.0,1252.4259259259259,13404852.922839507,37.84615384615385,12841.666666666666,2336.0,2202.0
7350.0,54.0,197.0,10141.666666666666,1528.0,7854.0,95.0,249.33333333333334,36.333333333333336,46.333333333333336,6.0,212.0,48.0,35.0,3.0,9.0,0.0,3.0,1548.2037037037037,14390327.957818925,61.30769230769231,10141.666666666666,3025.0,7854.0
9366.0,61.0,190.0,9237.0,8092.0,7754.0,276.6666666666667,272.0,43.0,90.66666666666667,101.33333333333333,335.3333333333333,31.0,13.0,0.0,0.0,0.0,0.0,1992.3888888888887,24253415.6244856,94.15384615384616,9237.0,5882.666666666667,7754.0
2836.0,13.0,329.0,4358.0,3870.0,8482.0,562.0,332.0,100.66666666666667,157.0,241.0,459.0,34.0,9.0,0.0,9.0,0.0,0.0,1210.648148148148,7486995.81584362,147.43589743589743,4358.0,2345.0,8482.0
2370.0,13.0,401.0,2461.0,873.0,12270.0,654.0,413.0,229.33333333333334,253.0,197.0,361.3333333333333,45.0,51.0,0.0,15.0,0.0,0.0,1144.8148148148148,8850867.355967076,171.66666666666666,2461.0,1214.6666666666667,12270.0
1725.0,28.0,535.0,1345.0,706.0,5138.0,643.0,597.0,283.0,287.0,217.0,264.0,141.0,93.0,0.0,35.0,0.0,18.0,669.7222222222222,1629228.4351851859,200.46153846153845,1345.0,988.6666666666666,5138.0
1209.0,95.0,665.0,695.0,536.0,2522.0,714.3333333333334,817.0,285.3333333333333,305.0,275.3333333333333,253.66666666666666,239.0,142.0,0.0,29.0,0.0,21.0,489.0925925925926,459237.896090535,244.3589743589744,695.0,803.3333333333334,2522.0
1198.0,245.0,572.0,652.0,688.0,2030.0,652.0,665.0,423.0,333.0,274.0,244.0,318.0,167.0,3.0,3.0,0.0,3.0,470.5555555555556,311118.1666666667,256.15384615384613,652.0,819.3333333333334,2030.0
821.0,273.0,602.0,416.0,517.0,2242.0,795.0,611.0,428.0,393.3333333333333,318.6666666666667,255.0,476.0,354.0,3.0,3.0,3.0,0.0,472.8333333333333,294843.445473251,301.0,416.0,646.6666666666666,2242.0
669.0,494.0,552.0,294.0,467.0,1426.0,668.0,595.3333333333334,448.3333333333333,418.0,291.0,267.0,634.0,439.0,0.0,30.0,3.0,0.0,427.537037037037,125182.81584362139,329.8205128205128,294.0,562.6666666666666,1426.0
734.0,654.0,500.0,323.0,336.0,943.0,533.0,658.0,487.0,489.0,223.0,251.33333333333334,496.6666666666667,381.0,0.0,17.0,0.0,3.0,390.5,80880.63271604938,322.53846153846155,323.0,523.3333333333334,943.0
611.0,561.0,541.0,318.0,306.0,814.0,512.0,414.0,448.0,505.3333333333333,320.0,236.0,499.0,545.0,0.0,6.0,3.0,3.0,369.0185185185185,66400.84465020575,311.71794871794873,318.0,486.0,814.0
515.0,604.0,415.0,303.0,369.0,623.0,469.0,358.0,464.0,485.6666666666667,359.3333333333333,225.66666666666666,471.0,544.0,0.0,6.0,14.0,0.0,345.8703703703704,48675.95781893004,307.7435897435897,303.0,433.0,623.0
536.0,615.0,326.0,252.0,392.0,580.0,450.0,421.3333333333333,396.3333333333333,514.6666666666666,435.0,216.0,438.0,481.0,0.0,0.0,11.0,0.0,336.9074074074074,46820.91460905349,306.025641025641,252.0,418.0,580.0
465.0,550.0,252.0,233.0,341.0,441.0,428.3333333333333,509.0,389.0,398.6666666666667,396.6666666666667,218.0,393.3333333333333,489.0,0.0,0.0,3.0,7.0,306.3333333333333,40876.36831275719,290.9230769230769,233.0,352.6666666666667,441.0
