S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
51,51,9,39,0,51,0,9,9,9,30,36,0,63,9,0,0,21,21.5,445.25,12.878787878787877,17.0,13.0,5.2
84,42,39,30,0,9,9,30,4,9,0,33,9,27,9,0,0,21,19.72222222222222,434.42283950617275,9.393939393939394,6.0,10.0,9.066666666666666
21,21,18,9,186,63,9,78,21,15,0,21,57,9,33,9,0,0,31.666666666666668,1865.2222222222222,8.181818181818182,24.0,3.0,17.0
30,21,27,9,51,9,4,78,21,30,15,9,18,42,33,9,0,0,22.555555555555557,371.1358024691358,9.757575757575758,6.0,3.0,9.8
48,0,54,9,9,0,27,54,10,0,0,4,18,42,0,9,0,0,15.777777777777779,379.50617283950623,7.969696969696969,6.0,10.0,11.866666666666667
66,0,27,30,9,0,36,18,0,9,57,0,13,9,0,48,0,9,18.38888888888889,420.2376543209876,8.424242424242424,3.0,10.0,20.0
48,0,687,25851,18,21,27,18,0,27,66,9,27,9,0,39,0,9,1492.0,34927151.0,7.151515151515152,7.0,14533.0,60.8
264,0,795,22268,195,9,9,0,0,27,9,18,45,30,0,0,0,0,1314.9444444444443,25860242.830246896,5.909090909090909,3.0,20976.666666666668,83.6
1656,0,267,57660,1035,18,9,27,33,18,9,18,66,9,0,0,0,0,3379.1666666666665,173501668.13888893,6.909090909090909,6.0,38783.0,1063.8
1587,57,591,26144,18,21,18,27,33,9,4,18,9,0,0,9,0,0,1585.8333333333333,35617539.58333337,6.6060606060606055,13.0,15968.0,2238.2
780,66,2145,37758,18,915,54,22,33,0,21,45,9,9,0,9,0,0,2326.8888888888887,74125870.98765434,23.78787878787879,3367.0,25444.333333333332,1888.6
1668,27,696,30659,2106,2286,54,9,30,9,99,72,13,9,54,0,0,0,2099.5,48532367.027777776,44.90909090909091,5742.0,18153.666666666668,3039.2
3315,111,1320,64464,5400,14790,45,9,30,63,162,339,111,0,54,30,0,0,5013.5,220221463.25,64.33333333333333,15898.0,33787.333333333336,2003.6
2733,0,3807,8448,8676,9450,27,60,178,63,159,606,111,168,0,39,0,0,1918.0555555555557,10675578.60802469,88.93939393939394,16649.0,37252.666666666664,1992.2
1626,9,3834,11670,3105,1578,27,51,558,172,159,556,18,57,0,9,0,0,1301.611111111111,7547245.793209873,153.27272727272728,15786.0,15630.666666666666,1680.6
636,18,2466,4161,1146,2190,31,51,558,597,337,507,27,0,0,0,0,0,706.9444444444445,1219784.8302469142,196.1818181818182,11910.0,16815.0,1288.6
1050,30,1191,2385,1344,6258,183,100,676,501,447,475,27,18,9,27,0,0,817.8333333333334,2128802.4722222234,199.36363636363637,16247.0,12537.0,1481.3333333333335
957,87,813,1656,1920,2682,117,111,426,471,480,444,73,153,30,66,0,0,582.5555555555555,554912.5802469135,219.42424242424246,21232.0,5984.0,1485.2
867,54,627,1089,696,2730,189,30,426,495,528,424,267,438,42,66,0,0,498.22222222222223,388547.1728395061,234.48484848484847,12546.0,5293.0,1148.2
627,297,537,666,840,1926,216,120,468,495,537,405,423,762,30,36,0,0,465.8333333333333,192310.8055555556,282.1515151515151,6048.0,3226.0,892.8666666666666
432,111,567,615,444,1662,216,225,534,598,537,496,222,411,39,18,0,0,395.94444444444446,140589.94135802472,303.39393939393943,3806.0,1920.0,634.2
576,186,714,525,525,1350,226,225,534,564,487,588,285,447,48,36,0,0,406.44444444444446,102715.02469135803,305.03030303030306,1608.0,1205.0,544.4
561,132,816,258,627,1110,180,237,561,438,255,486,285,450,75,54,0,0,362.5,84061.25,297.3636363636364,1018.0,782.0,446.0666666666667
681,93,507,402,417,1434,363,192,768,471,297,384,217,384,84,27,0,0,373.3888888888889,112780.79320987652,285.1515151515151,946.0,641.0,431.4
462,111,699,399,378,1074,237,288,768,459,411,334,255,621,18,96,0,0,367.22222222222223,79049.3950617284,290.2121212121212,1026.0,433.0,473.6
399,207,567,204,543,858,378,213,577,459,435,285,342,678,42,114,0,0,350.05555555555554,54677.16358024691,299.1212121212121,942.0,309.0,446.9333333333333
375,294,687,186,525,666,378,234,489,393,435,391,357,519,42,9,0,0,332.22222222222223,44338.283950617275,284.93939393939394,738.0,329.0,396.0
714,282,528,312,546,642,361,234,489,321,394,498,372,330,51,63,0,0,340.94444444444446,42649.1635802469,282.06060606060606,551.0,280.0,431.0
762,444,237,522,672,546,348,255,388,387,216,360,372,414,129,72,0,0,340.22222222222223,42606.395061728384,300.24242424242425,643.0,363.0,430.9333333333333
702,231,246,381,492,750,339,339,255,456,249,222,513,456,21,93,0,0,319.1666666666667,45393.1388888889,295.09090909090907,742.0,352.0,423.8
801,252,480,201,222,834,312,225,255,459,381,159,654,297,33,66,0,0,312.8333333333333,59703.80555555559,297.6666666666667,663.0,329.0,443.0
564,324,420,390,402,489,483,144,309,459,414,96,324,321,63,9,0,0,289.5,33143.25,295.75757575757575,556.0,414.0,445.8666666666667
600,369,399,243,492,348,483,174,189,336,414,148,294,342,138,126,0,0,283.05555555555554,26622.94135802469,267.72727272727275,507.0,274.0,420.4
600,444,291,48,213,264,396,174,189,261,417,201,213,441,72,162,0,0,243.66666666666666,25942.55555555555,260.27272727272725,474.0,162.0,417.6
423,666,387,201,384,321,282,235,235,159,366,178,213,459,57,45,0,0,256.1666666666667,29121.472222222226,243.3939393939394,434.0,179.0,909.4666666666668
615,537,372,243,471,354,162,405,177,174,240,156,256,510,45,18,0,0,263.05555555555554,34856.16358024692,225.1818181818182,410.0,199.0,1253.0
312,330,438,90,327,372,210,318,177,288,192,129,255,351,99,57,0,0,219.16666666666666,16731.472222222226,227.0909090909091,367.0,267.0,1212.2
345,114,522,69,216,387,330,264,184,288,192,102,237,321,291,117,0,0,221.05555555555554,18130.830246913574,226.39393939393938,348.0,158.0,873.3333333333333
321,123,531,90,189,546,330,243,213,321,192,147,264,444,102,39,0,0,227.5,25780.25,215.1818181818182,416.0,140.0,362.2
549,255,420,96,120,438,393,243,213,333,183,192,204,375,102,9,0,0,229.16666666666666,24767.1388888889,229.39393939393938,403.0,205.0,328.0
459,222,318,159,306,252,237,294,232,258,126,225,204,264,69,9,0,21,203.05555555555554,13746.163580246912,197.1212121212121,286.0,204.0,334.2666666666667
384,459,276,183,231,582,189,573,318,264,153,258,277,285,57,60,0,0,252.72222222222223,27772.20061728395,200.84848484848482,397.0,126.0,512.4
474,372,192,75,288,390,282,396,318,261,255,193,390,342,18,60,0,0,239.22222222222223,21741.617283950618,215.78787878787878,337.0,95.0,525.0
453,183,183,60,195,180,318,339,235,261,183,129,339,297,72,57,0,0,193.55555555555554,15163.8024691358,215.9393939393939,198.0,174.0,676.0666666666667
339,228,279,120,267,186,318,234,204,229,183,121,111,297,81,75,0,0,181.77777777777777,10057.617283950618,193.75757575757578,215.0,204.0,418.2
318,300,168,120,297,210,258,234,204,405,118,114,153,297,60,75,0,9,185.55555555555554,12283.691358024693,204.87878787878788,215.0,164.0,423.8
312,252,267,87,228,291,180,156,177,216,87,172,153,261,39,147,0,9,168.55555555555554,8421.58024691358,168.78787878787878,280.0,110.0,352.2666666666667
432,366,240,105,204,492,198,186,111,123,120,231,121,270,84,99,0,0,187.88888888888889,17269.65432098765,156.75757575757575,320.0,144.0,425.4
423,321,180,162,207,318,198,258,111,162,141,201,246,282,51,27,0,0,182.66666666666666,12886.888888888889,173.72727272727272,255.0,192.0,400.4
528,312,186,141,189,198,198,297,141,162,132,171,186,177,27,18,0,0,170.16666666666666,15082.805555555551,162.9090909090909,217.0,130.0,331.0
441,240,324,150,267,87,198,246,111,162,132,94,90,102,27,96,0,0,153.72222222222223,12558.867283950616,161.0,153.0,88.0,416.6
306,258,300,156,297,60,229,246,111,96,144,18,108,210,27,54,0,0,145.55555555555554,11108.469135802465,167.51515151515153,95.0,118.0,407.2
246,288,171,225,153,99,219,288,172,126,93,39,108,222,27,27,0,0,139.05555555555554,8745.608024691357,135.24242424242425,103.0,149.0,260.1333333333333
249,276,93,159,246,135,351,477,180,96,72,60,162,291,45,0,0,0,160.66666666666666,16682.222222222223,133.27272727272728,126.0,105.0,219.2
213,213,99,126,222,60,306,387,180,165,138,81,207,309,108,18,0,42,159.66666666666666,10618.555555555553,149.63636363636363,102.0,93.0,245.4
246,102,171,174,504,240,120,315,181,165,168,102,129,426,72,9,0,42,175.88888888888889,16809.65432098765,139.75757575757578,154.0,122.0,355.0
237,177,156,231,435,372,120,195,270,147,168,205,144,240,18,0,0,0,173.05555555555554,13865.496913580244,129.63636363636363,242.0,146.0,465.6
258,210,48,81,123,252,249,195,270,120,193,309,186,102,18,9,0,0,145.72222222222223,10077.422839506173,128.87878787878788,160.0,181.0,428.8
273,93,147,9,198,117,228,216,159,96,60,169,186,231,120,9,0,0,128.38888888888889,7155.015432098764,116.6060606060606,114.0,108.0,478.33333333333337
234,105,315,0,165,51,189,270,78,96,72,30,202,96,90,48,0,0,113.38888888888889,8546.348765432098,92.6969696969697,114.0,62.0,502.4
357,189,183,33,123,30,180,228,78,108,69,76,222,75,42,18,0,0,111.72222222222223,8820.533950617282,100.12121212121214,57.0,62.0,464.8
423,243,162,9,57,30,258,234,108,108,90,123,213,300,72,18,0,0,136.0,13571.0,112.4848484848485,39.0,26.0,300.2
186,420,360,36,126,36,258,246,108,118,90,79,126,276,120,18,0,0,144.61111111111111,14245.904320987649,115.54545454545455,86.0,42.0,175.4
108,447,144,69,63,132,210,246,108,129,78,36,108,168,39,18,0,9,117.33333333333333,10703.888888888894,94.33333333333334,149.0,63.0,152.8
138,102,90,72,54,129,135,217,94,117,72,33,108,198,54,36,0,0,91.61111111111111,3356.348765432099,81.60606060606061,89.0,75.0,219.6
345,117,132,36,72,183,90,159,96,51,39,30,90,228,51,9,0,0,96.0,7478.0,80.84848484848486,129.0,104.0,233.0
249,39,93,186,108,72,90,90,96,93,99,39,150,180,27,60,0,0,92.83333333333333,4061.4722222222244,84.93939393939394,116.0,144.0,205.66666666666669
162,81,123,219,99,258,126,144,115,93,132,48,168,228,27,120,0,0,119.05555555555556,5037.496913580247,85.57575757575756,147.0,145.0,238.1333333333333
153,273,93,213,123,231,126,174,186,81,132,40,159,219,0,60,0,0,125.72222222222223,6617.3117283950605,97.81818181818181,110.0,123.0,281.6
153,333,102,180,117,87,76,174,186,81,142,33,168,279,9,18,0,21,119.94444444444444,8042.941358024691,108.93939393939394,62.0,100.0,273.2
150,123,105,48,78,213,36,193,132,60,66,37,168,225,111,90,0,21,103.11111111111111,4224.543209876543,108.63636363636364,126.0,82.0,265.0
219,117,165,18,9,264,81,141,75,18,42,42,115,162,141,141,0,9,97.72222222222223,5684.089506172838,91.84848484848486,150.0,52.0,263.0
207,129,165,132,36,225,126,387,75,66,27,36,81,102,39,27,0,30,105.0,8632.0,87.57575757575758,106.0,97.0,250.6
99,63,87,114,96,117,183,360,67,66,36,30,102,93,9,27,0,30,87.72222222222223,6312.200617283949,78.15151515151516,69.0,66.0,227.4666666666667
108,90,39,18,141,39,183,171,60,81,36,28,75,141,39,69,0,0,73.22222222222223,2959.0617283950614,66.81818181818181,68.0,30.0,226.2
126,57,48,60,27,36,150,171,60,96,45,27,36,219,39,78,0,0,70.83333333333333,3384.1388888888882,65.24242424242425,59.0,43.0,330.0
96,78,78,60,18,48,99,208,40,9,21,18,36,198,18,36,0,0,58.94444444444444,3483.4969135802467,58.63636363636363,72.0,33.0,621.2666666666667
120,81,57,30,30,39,144,153,21,75,0,9,58,96,9,18,0,0,52.22222222222222,2317.7283950617284,68.87878787878789,73.0,20.0,958.4
78,222,36,30,48,63,99,174,21,18,96,9,45,66,93,45,0,0,63.5,3247.25,79.96969696969698,95.0,79.0,551.0
93,255,63,18,87,72,36,99,49,18,117,9,45,90,0,147,0,0,66.55555555555556,3906.246913580249,66.3030303030303,71.0,61.0,206.2666666666667
132,144,198,39,186,84,36,102,42,24,117,21,36,60,9,129,0,0,75.5,3762.25,49.6060606060606,54.0,132.0,160.6
69,75,189,51,36,165,58,102,42,18,78,33,36,39,30,9,0,21,58.388888888888886,2396.126543209876,43.848484848484844,78.0,61.0,354.4
30,93,54,72,48,96,90,96,40,18,18,42,36,21,21,27,0,0,44.55555555555556,981.6913580246913,45.78787878787878,55.0,34.0,643.9333333333334
156,297,36,42,57,18,63,69,39,18,9,51,36,9,54,27,0,0,54.5,4666.25,64.60606060606061,33.0,20.0,807.8
177,522,18,30,45,9,27,78,39,81,9,39,144,84,33,27,0,0,75.66666666666667,13899.55555555555,69.3030303030303,39.0,26.0,918.0
102,75,18,57,9,51,27,66,40,81,9,27,75,117,0,27,0,0,43.388888888888886,1249.7932098765434,38.90909090909091,67.0,46.0,976.4666666666666
84,69,84,0,36,72,27,102,228,51,9,37,9,42,0,30,0,0,48.888888888888886,2902.4320987654323,32.21212121212121,44.0,25.0,1009.8
18,48,102,0,27,9,18,102,228,39,4,48,72,33,0,0,0,0,41.55555555555556,3088.0246913580245,41.42424242424242,6.0,39.0,1050.8
30,120,36,9,57,42,27,60,135,81,0,181,72,54,0,0,0,0,50.22222222222222,2570.283950617284,47.90909090909091,49.0,27.0,558.6666666666667
51,291,45,18,18,144,81,60,96,57,0,315,45,51,9,0,0,0,71.16666666666667,8115.805555555554,56.06060606060607,91.0,31.0,90.6
72,177,66,78,18,216,129,48,96,105,0,187,27,96,0,0,0,0,73.05555555555556,4553.608024691359,53.54545454545455,111.0,43.0,188.0
51,45,27,126,9,84,156,60,73,105,0,60,36,42,21,0,0,0,49.72222222222222,1958.7561728395056,40.03030303030303,47.0,45.0,325.5333333333333
60,27,69,135,27,27,156,81,18,67,0,45,66,120,30,102,0,9,57.72222222222222,2037.533950617284,35.696969696969695,28.0,48.0,415.6
51,96,9,18,69,9,109,81,18,87,9,30,84,87,0,0,0,84,46.72222222222222,1487.0895061728397,43.09090909090909,28.0,19.0,448.0
42,63,69,27,60,9,72,66,9,45,36,19,84,123,9,0,0,0,40.72222222222222,1145.756172839506,32.87878787878788,34.0,19.0,452.4
60,156,90,9,27,39,72,51,9,30,60,9,55,0,9,9,0,0,38.05555555555556,1551.8302469135797,32.33333333333333,41.0,9.0,471.2
