S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
18,0,0,9,9,18,18,117,9,0,4,15,27,9,27,36,0,0,18.666666666666668,763.8222222222225,13.5,6.75,25.11111111111111,18.0,0.0
18,42,0,9,9,36,0,177,19,9,18,9,27,18,9,18,9,0,26.666666666666668,1745.955555555555,13.5,21.75,31.77777777777778,13.5,0.0
0,51,0,0,0,30,0,240,0,9,18,52,22,96,33,27,0,0,36.733333333333334,3650.5955555555543,0.0,20.25,52.22222222222222,13.5,0.0
96,30,0,0,18,21,0,144,0,0,18,96,18,120,33,0,0,30,39.6,2229.84,48.0,17.25,47.666666666666664,0.0,30.0
126,30,0,0,39,9,0,81,10,114,27,52,114,0,0,0,0,30,40.13333333333333,2020.248888888889,63.0,19.5,44.22222222222222,0.0,30.0
30,30,69,0,1224,9,0,111,30,114,27,9,114,42,0,0,0,0,120.6,88562.64000000004,15.0,333.0,49.666666666666664,0.0,0.0
30,21,27,87,13620,0,4,111,30,66,13,15,0,120,0,0,0,0,942.9333333333333,11480638.462222219,58.5,3417.0,39.888888888888886,0.0,0.0
48,21,0,513,3975,0,0,120,25,18,0,21,0,132,9,0,0,0,325.46666666666664,967393.7155555557,280.5,999.0,36.111111111111114,0.0,0.0
36,21,18,17216,4989,9,0,147,0,9,0,10,0,27,9,9,0,0,1499.4,19172167.573333338,8626.0,1259.25,22.444444444444443,4.5,0.0
69,42,18,33678,2697,11394,0,150,0,9,0,0,9,42,0,9,0,21,3207.2,74469601.75999999,16873.5,3537.75,23.333333333333332,4.5,21.0
390,9,9,16824,5253,1122,72,333,4,96,9,208,18,0,0,18,0,21,1623.1333333333334,18180178.515555553,8607.0,1598.25,82.22222222222223,9.0,21.0
7086,9,39,14823,2214,12822,72,342,27,96,9,417,87,21,9,18,0,0,2538.2,22861138.15999999,10954.5,3771.0,120.0,9.0,0.0
6441,21,270,5688,6798,13938,238,342,27,135,87,697,36,21,0,0,0,0,2315.9333333333334,15641885.528888885,6064.5,5256.75,175.88888888888889,0.0,0.0
930,30,579,6603,795,14838,666,378,112,297,195,978,36,9,0,9,0,0,1763.0666666666666,14710395.795555556,3766.5,4060.5,296.77777777777777,4.5,0.0
1254,30,588,2667,744,7182,1014,591,432,393,57,756,45,60,0,9,0,0,1054.2,3119706.960000001,1960.5,2136.0,372.0,4.5,0.0
1512,21,501,2349,654,4206,813,588,432,438,300,534,225,153,0,9,0,0,848.4,1147411.4400000002,1930.5,1345.5,387.0,4.5,0.0
1341,9,681,1251,363,1518,672,498,396,345,480,373,225,180,0,9,0,0,555.4666666666667,204203.44888888896,1296.0,642.75,352.1111111111111,4.5,0.0
930,237,516,855,777,1518,672,573,534,345,480,213,408,153,9,9,0,0,548.0,131444.0,892.5,762.0,376.3333333333333,4.5,0.0
735,312,483,396,462,2898,684,573,534,339,430,268,576,366,9,9,0,0,604.3333333333334,405335.9555555556,565.5,1038.75,419.8888888888889,4.5,0.0
789,456,303,102,423,1590,483,568,627,306,210,324,576,525,0,0,0,0,485.46666666666664,126912.38222222221,445.5,693.0,402.1111111111111,0.0,0.0
525,681,297,288,330,870,339,549,579,480,216,300,487,600,0,0,0,0,436.06666666666666,42654.3288888889,406.5,544.5,394.44444444444446,0.0,0.0
378,597,462,441,159,1014,375,276,579,507,318,276,408,705,0,18,0,0,433.0,53216.0,409.5,558.0,382.6666666666667,9.0,0.0
390,513,324,390,360,573,477,234,579,645,294,211,393,681,0,18,33,0,404.26666666666665,30767.928888888888,390.0,442.5,390.44444444444446,25.5,0.0
483,597,267,168,387,477,477,414,432,645,294,147,381,330,0,0,33,0,366.6,27617.039999999997,325.5,432.0,346.6666666666667,16.5,0.0
627,510,234,165,273,558,454,414,432,586,244,217,312,447,0,0,9,21,364.8666666666667,29033.182222222225,396.0,393.75,345.1111111111111,4.5,21.0
369,609,231,75,285,462,480,450,364,246,261,288,312,216,0,0,9,39,309.8666666666667,22760.915555555555,222.0,396.75,290.77777777777777,4.5,39.0
357,216,225,156,210,321,300,339,336,306,435,189,331,330,0,0,0,18,270.06666666666666,10468.462222222222,256.5,243.0,285.1111111111111,0.0,18.0
552,207,312,261,204,429,135,363,336,231,228,90,345,456,0,0,0,0,276.6,19623.839999999997,406.5,288.0,242.66666666666666,0.0,0.0
444,204,273,150,225,288,180,267,234,318,165,240,366,315,0,0,0,0,244.6,9965.84,297.0,247.5,231.66666666666666,0.0,0.0
237,150,246,75,141,231,180,273,150,318,165,390,213,177,0,0,0,0,196.4,8402.24,156.0,192.0,207.33333333333334,0.0,0.0
345,279,174,0,105,312,186,273,150,259,283,393,126,249,0,0,0,0,208.93333333333334,12788.995555555557,172.5,217.5,213.22222222222223,0.0,0.0
291,393,165,9,186,261,99,318,157,237,252,396,126,183,0,18,0,0,204.86666666666667,13401.715555555553,150.0,251.25,196.44444444444446,9.0,0.0
123,294,267,105,174,213,144,300,168,117,18,268,184,159,0,18,0,0,168.93333333333334,7692.062222222222,114.0,237.0,150.88888888888889,9.0,0.0
153,270,324,129,96,261,126,195,168,96,63,141,237,279,0,0,0,0,169.2,7668.96,141.0,237.75,145.0,0.0,0.0
246,264,219,93,126,276,99,291,151,72,45,117,132,192,0,0,0,0,154.86666666666667,7439.182222222222,169.5,221.25,122.11111111111111,0.0,0.0
174,267,171,63,153,276,99,255,93,72,45,93,93,135,0,0,0,0,132.6,6455.039999999999,118.5,216.75,98.33333333333333,0.0,0.0
165,255,171,60,66,219,154,255,93,115,54,103,93,159,0,0,0,0,130.8,5256.56,112.5,177.75,114.0,0.0,0.0
123,207,132,75,114,147,81,192,145,99,201,114,93,111,0,0,0,0,122.26666666666667,2667.528888888889,99.0,150.0,115.11111111111111,0.0,0.0
60,135,141,153,165,159,99,357,48,87,288,87,166,132,0,39,0,0,138.46666666666667,7509.448888888889,106.5,150.0,140.44444444444446,19.5,0.0
69,207,114,138,78,246,99,603,48,36,105,60,108,201,0,39,0,9,140.8,19505.36,103.5,161.25,140.0,19.5,9.0
69,183,57,30,78,120,18,171,49,18,18,91,63,183,0,0,0,9,76.53333333333333,3558.3822222222216,49.5,109.5,67.88888888888889,0.0,9.0
39,126,66,18,141,198,18,129,51,22,18,123,111,150,0,9,0,0,80.66666666666667,3591.9555555555553,28.5,132.75,69.11111111111111,4.5,0.0
39,84,18,57,102,159,54,129,51,26,18,66,120,30,0,9,0,0,63.53333333333333,2006.7822222222223,48.0,90.75,54.888888888888886,4.5,0.0
90,57,39,18,27,39,54,120,60,30,39,9,120,69,0,0,0,0,51.4,1226.2399999999998,54.0,40.5,55.666666666666664,0.0,0.0
69,84,108,123,27,51,36,69,39,30,21,19,82,90,0,0,0,9,56.53333333333333,1206.9155555555556,96.0,67.5,42.888888888888886,0.0,9.0
69,114,36,72,27,210,63,99,39,9,39,30,132,30,0,0,0,9,64.6,2839.04,70.5,96.75,49.0,0.0,9.0
90,102,18,9,417,72,45,129,28,39,27,24,54,9,0,0,0,0,70.86666666666666,9861.58222222222,49.5,152.25,39.44444444444444,0.0,0.0
108,42,18,9,123,39,45,90,54,47,27,18,63,54,0,0,0,0,49.13333333333333,1163.9822222222222,58.5,55.5,44.22222222222222,0.0,0.0
87,108,36,18,54,27,58,90,54,55,18,81,45,45,0,0,0,0,51.733333333333334,846.1955555555556,52.5,56.25,49.55555555555556,0.0,0.0
69,39,18,27,45,51,90,115,31,63,30,144,45,48,0,0,0,0,54.333333333333336,1326.6222222222218,48.0,38.25,62.888888888888886,0.0,0.0
69,27,18,27,36,39,63,99,9,18,9,76,40,126,0,0,0,0,43.733333333333334,1211.9288888888889,48.0,30.0,48.888888888888886,0.0,0.0
99,75,18,18,36,18,63,96,9,9,27,9,57,87,0,9,0,0,41.4,1130.64,58.5,36.75,39.666666666666664,4.5,0.0
72,87,51,0,36,33,36,126,4,54,9,15,36,99,0,9,0,0,43.86666666666667,1358.7822222222221,36.0,51.75,42.111111111111114,4.5,0.0
18,39,96,0,78,63,36,111,45,54,9,21,36,33,0,0,57,0,42.6,1023.84,9.0,69.0,38.333333333333336,28.5,0.0
27,9,54,0,18,39,27,111,45,54,25,105,9,18,0,0,57,0,36.06666666666667,1073.6622222222225,13.5,30.0,43.77777777777778,28.5,0.0
81,51,63,0,9,27,18,106,27,21,33,189,9,9,0,0,0,0,42.86666666666667,2405.315555555556,40.5,37.5,45.77777777777778,0.0,0.0
90,96,54,9,9,18,111,48,27,51,33,94,22,108,0,0,0,0,51.333333333333336,1414.6222222222223,49.5,44.25,54.888888888888886,0.0,0.0
48,54,27,9,18,27,111,81,27,30,159,0,9,90,0,0,0,0,46.0,1954.3999999999999,28.5,31.5,56.333333333333336,0.0,0.0
39,0,9,0,18,27,0,69,13,18,168,0,27,0,0,0,81,0,25.866666666666667,1788.3822222222223,19.5,13.5,32.77777777777778,40.5,0.0
21,39,0,45,0,0,0,66,0,49,168,0,18,0,0,0,81,9,27.066666666666666,1886.8622222222225,33.0,9.75,33.44444444444444,40.5,9.0
30,30,0,66,0,9,0,66,0,80,88,0,87,33,0,9,0,9,32.6,1163.5733333333333,48.0,9.75,39.333333333333336,4.5,9.0
57,18,18,42,0,18,0,48,69,111,0,0,87,9,0,9,0,0,31.8,1190.16,49.5,13.5,36.0,4.5,0.0
18,18,18,21,9,57,0,48,9,0,9,0,52,9,0,0,0,0,17.866666666666667,347.0488888888889,19.5,25.5,14.11111111111111,0.0,0.0
9,9,9,0,9,9,9,111,9,9,0,0,27,9,0,9,0,0,14.6,705.4400000000002,4.5,9.0,19.333333333333332,4.5,0.0
9,9,18,0,0,30,9,51,9,33,9,0,18,0,0,9,0,0,13.0,207.2,4.5,14.25,14.333333333333334,4.5,0.0
9,9,9,0,27,30,9,9,0,33,9,0,18,0,0,0,0,0,10.8,118.56000000000002,4.5,18.75,8.666666666666666,0.0,0.0
