S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
39,0,0,0,9,9,0,87,0,45,0,4,9,75,0,0,0,0,15.38888888888889,707.5709876543211,22.666666666666664,25.0,11.666666666666666,12.0
9,0,0,93,0,0,72,48,0,45,0,0,9,45,0,9,0,30,20.0,785.0,24.717948717948723,48.0,12.333333333333334,18.0
9,78,0,0,18,0,72,153,0,33,0,0,27,0,0,9,0,30,23.833333333333332,1536.4722222222217,28.076923076923077,7.0,8.0,29.0
9,90,36,0,9,0,72,69,0,33,0,0,18,27,0,0,0,0,20.166666666666668,795.8055555555561,25.384615384615383,0.0,21.666666666666668,10.0
0,30,36,0,0,78,40,69,0,33,0,0,0,9,0,0,0,21,17.555555555555557,594.6913580246913,20.692307692307693,0.0,25.333333333333332,39.0
0,9,48,0,9,30,9,81,4,0,9,0,0,0,9,0,0,0,11.555555555555555,432.3580246913579,17.564102564102562,0.0,158.33333333333334,23.0
1374,0,48,81,18,9,18,30,30,0,18,0,0,9,9,0,0,9,91.83333333333333,97113.13888888879,14.948717948717947,63.0,1691.0,3.0
4767,0,9,49782,9,33,0,48,30,0,9,0,9,18,0,30,9,0,3041.8333333333335,129690457.47222213,17.717948717948715,20191.0,1249.6666666666667,14.0
5388,0,0,34481,9,42,9,78,15,0,0,0,9,9,0,30,0,9,2226.6111111111113,62707718.68209877,15.358974358974358,27810.333333333332,2204.0,31.0
4494,81,24393,24281,45,0,9,48,0,0,0,0,0,9,0,0,0,9,2964.9444444444443,58142025.49691361,17.692307692307693,20119.666666666668,4650.0,3809.0
5295,81,5142,20684,291,3228,22,48,0,0,0,13,9,19,0,0,0,21,1936.2777777777778,23629723.422839507,37.84615384615385,12841.666666666666,2336.0,2202.0
13623,0,420,14645,495,10002,195,220,10,0,0,27,9,39,0,0,0,0,2204.722222222222,22951002.08950616,61.30769230769231,10141.666666666666,3025.0,7854.0
20967,9,126,21558,1236,2622,498,288,30,51,51,54,9,18,0,0,0,0,2639.8333333333335,43760244.47222224,94.15384615384616,9237.0,5882.666666666667,7754.0
7245,9,186,6030,3390,7422,636,486,30,57,72,81,18,0,0,18,0,0,1426.6666666666667,6638012.222222222,147.43589743589743,4358.0,2345.0,8482.0
4191,9,255,4476,618,13278,639,591,79,207,93,123,9,9,0,36,0,0,1367.388888888889,10084875.348765425,171.66666666666666,2461.0,1214.6666666666667,12270.0
2688,63,495,1602,228,7590,639,852,240,207,93,165,63,30,0,96,0,0,836.1666666666666,3133350.8055555574,200.46153846153845,1345.0,988.6666666666666,5138.0
1707,153,621,780,543,4194,1063,852,240,204,130,169,147,30,0,78,0,0,606.1666666666666,957280.1388888889,244.3589743589744,695.0,803.3333333333334,2522.0
1788,387,495,780,753,1194,876,942,375,288,126,174,147,51,0,0,0,0,465.3333333333333,235767.88888888882,256.15384615384613,652.0,819.3333333333334,2030.0
1113,390,618,348,735,1086,1146,780,390,357,231,208,300,162,0,0,0,0,436.8888888888889,143997.65432098767,301.0,416.0,646.6666666666666,2242.0
507,702,735,393,732,1134,1029,738,390,468,312,243,774,294,0,51,0,0,472.3333333333333,114980.22222222222,329.8205128205128,294.0,562.6666666666666,1426.0
771,966,576,426,378,1029,639,810,504,585,216,274,591,204,0,51,0,9,446.05555555555554,102064.83024691355,322.53846153846155,323.0,523.3333333333334,943.0
798,870,543,264,390,882,639,480,387,574,216,306,681,480,0,0,9,9,418.22222222222223,82915.39506172837,311.71794871794873,318.0,486.0,814.0
681,834,408,279,408,714,516,480,387,563,358,309,660,525,0,0,9,0,396.1666666666667,64064.58333333333,307.7435897435897,303.0,433.0,623.0
660,642,327,336,450,774,459,478,355,681,585,312,660,654,0,0,0,0,409.6111111111111,65607.68209876542,306.025641025641,252.0,418.0,580.0
