S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
234,18,0,78,27,0,0,21,9,6,30,132,0,144,18,147,0,18,49.0,4475.0,156.0,11.25,40.0,73.5,18.0
225,39,9,0,27,0,0,21,9,12,34,70,9,108,66,198,0,27,47.44444444444444,4177.469135802468,112.5,18.75,36.55555555555556,99.0,27.0
54,21,0,30,57,21,0,10,4,30,9,9,9,108,93,9,0,30,27.444444444444443,941.2469135802469,42.0,24.75,30.22222222222222,4.5,30.0
0,9,9,60,48,27,0,0,0,21,0,4,4,18,27,99,66,9,22.27777777777778,756.9783950617285,30.0,23.25,8.222222222222221,82.5,9.0
21,9,0,51,9,18,0,0,0,9,0,0,0,30,27,99,75,9,19.833333333333332,759.138888888889,36.0,9.0,7.333333333333333,87.0,9.0
135,0,0,33,9,9,0,0,45,9,0,0,0,21,27,18,0,0,17.0,993.0,84.0,4.5,11.333333333333334,9.0,0.0
114,0,30,0,0,42,0,0,81,4,0,0,0,9,18,27,9,21,19.72222222222222,938.4228395061731,57.0,18.0,12.444444444444445,18.0,21.0
0,42,486,0,18,51,18,0,81,18,4,0,0,9,93,9,0,9,46.55555555555556,12110.469135802477,0.0,149.25,24.77777777777778,4.5,9.0
18,21,855,0,18,6240,27,0,40,0,0,0,0,21,93,0,0,9,407.8888888888889,2038138.543209878,9.0,1783.5,20.11111111111111,0.0,9.0
135,9,1452,30,39,15354,36,21,9,27,0,562,13,63,9,18,30,9,989.7777777777778,12253576.728395063,82.5,4213.5,82.22222222222223,24.0,9.0
177,9,87,27,9,23058,45,210,9,48,0,1125,114,96,9,9,30,39,1394.5,27669263.25,102.0,5790.75,184.0,19.5,39.0
156,0,45,39,45,23790,117,447,22,306,132,973,219,120,0,0,0,39,1469.4444444444443,29359047.469135795,97.5,5970.0,259.55555555555554,0.0,39.0
297,9,54,93,162,24441,117,222,255,407,132,822,168,345,117,0,0,0,1535.611111111111,30899469.23765433,195.0,6166.5,287.22222222222223,0.0,0.0
312,18,75,174,354,37710,121,222,255,508,139,1146,201,504,258,0,9,9,2334.1666666666665,73684098.13888884,243.0,9539.25,372.6666666666667,4.5,9.0
588,18,102,300,429,13578,162,207,501,747,603,1470,201,528,123,0,0,9,1087.0,9303409.0,444.0,3531.75,504.6666666666667,0.0,9.0
