S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
30,189,0,0,36,9,36,0,0,18,84,0,9,9,33,0,0,0,30.2,2282.96,15.0,58.5,21.0,0.0,0.0
48,18,9,0,45,33,9,63,21,9,21,0,9,33,66,0,0,0,25.6,435.44,24.0,26.25,25.666666666666668,0.0,0.0
18,39,18,18,27,33,9,60,9,9,0,0,9,42,75,9,0,0,24.4,446.24,18.0,29.25,23.666666666666668,4.5,0.0
18,63,18,18,39,0,45,18,9,18,9,0,0,9,42,9,0,0,20.4,326.64000000000004,18.0,30.0,16.666666666666668,4.5,0.0
27,123,0,39,39,9,45,18,4,18,18,0,18,78,0,0,0,0,29.066666666666666,1048.5955555555558,33.0,42.75,22.11111111111111,0.0,0.0
51,90,0,18,0,9,45,9,0,24,18,0,9,21,9,0,0,0,20.2,572.9599999999999,34.5,24.75,15.0,0.0,0.0
531,57,9,38814,1530,30,31,9,0,0,18,0,0,21,0,0,0,9,2736.6666666666665,93121021.82222222,19672.5,406.5,8.777777777777779,0.0,9.0
1152,66,9,302,87,21,18,13,0,0,9,0,0,0,0,0,0,18,111.8,82922.69333333333,727.0,45.75,4.444444444444445,0.0,18.0
612,147,18,49527,282,0,9,9,9,18,0,0,27,0,0,18,0,9,3377.2,152154588.56,25069.5,111.75,8.0,9.0,9.0
2565,147,4299,51468,384,30,0,9,9,0,0,0,27,21,9,18,0,0,3931.2,162824801.76000008,27016.5,1215.0,8.333333333333334,9.0,0.0
1455,0,39,25815,45,12237,9,30,4,0,0,0,0,21,9,0,0,0,2644.266666666667,47559886.062222205,13635.0,3080.25,8.11111111111111,0.0,0.0
5883,135,1656,60543,18,4350,9,60,9,9,0,0,0,0,0,0,0,0,4844.8,224644697.3599999,33213.0,1539.75,9.666666666666666,0.0,0.0
3138,135,3876,54888,348,38142,18,60,9,174,15,0,9,30,9,9,0,42,6723.4,254299227.44,29013.0,10625.25,36.0,4.5,42.0
1308,33,597,16095,2139,29298,117,45,171,852,216,0,9,39,0,9,0,51,3394.6,63468999.44,8701.5,8016.75,161.0,4.5,51.0
207,9,2895,11985,162,13254,279,39,1005,1245,591,0,27,9,9,0,0,18,2114.4,17579214.240000002,6096.0,4080.0,356.0,0.0,18.0
360,18,2784,3651,132,8922,555,48,1005,771,624,0,36,9,27,0,0,9,1262.8,5281080.5600000005,2005.5,2964.0,341.6666666666667,0.0,9.0
1149,9,1884,2931,156,8418,366,81,906,771,561,0,9,81,36,0,0,0,1157.2,4409288.959999999,2040.0,2616.75,312.3333333333333,0.0,0.0
1221,9,1077,2211,978,4626,366,81,675,742,561,0,9,93,48,0,0,21,846.4666666666667,1374707.048888889,1716.0,1672.5,286.1111111111111,0.0,21.0
