S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
39,0,0,0,9,9,0,87,0,45,0,4,9,75,0,0,0,0,18.466666666666665,792.2488888888888,19.5,4.5,24.444444444444443,0.0,0.0
9,0,0,93,0,0,72,48,0,45,0,0,9,45,0,9,0,30,21.4,898.6399999999999,51.0,0.0,24.333333333333332,4.5,30.0
9,78,0,0,18,0,72,153,0,33,0,0,27,0,0,9,0,30,26.0,1784.0,4.5,24.0,31.666666666666668,4.5,30.0
9,90,36,0,9,0,72,69,0,33,0,0,18,27,0,0,0,0,24.2,857.3599999999998,4.5,33.75,24.333333333333332,0.0,0.0
0,30,36,0,0,78,40,69,0,33,0,0,0,9,0,0,0,21,19.666666666666668,667.2888888888887,0.0,36.0,16.77777777777778,0.0,21.0
0,9,48,0,9,30,9,81,4,0,9,0,0,0,9,0,0,0,13.866666666666667,486.7822222222221,0.0,24.0,12.444444444444445,0.0,0.0
1374,0,48,81,18,9,18,30,30,0,18,0,0,9,9,0,0,9,109.6,114638.24000000002,727.5,18.75,12.666666666666666,0.0,9.0
4767,0,9,49782,9,33,0,48,30,0,9,0,9,18,0,30,9,0,3647.6,153426797.84000006,27274.5,12.75,12.666666666666666,19.5,0.0
5388,0,0,34481,9,42,9,78,15,0,0,0,9,9,0,30,0,9,2669.3333333333335,74073213.0222222,19934.5,12.75,13.333333333333334,15.0,9.0
4494,81,24393,24281,45,0,9,48,0,0,0,0,0,9,0,0,0,9,3557.3333333333335,67664879.4222222,14387.5,6129.75,7.333333333333333,0.0,9.0
5295,81,5142,20684,291,3228,22,48,0,0,0,13,9,19,0,0,0,21,2322.133333333333,27462341.448888894,12989.5,2185.5,12.333333333333334,0.0,21.0
13623,0,420,14645,495,10002,195,220,10,0,0,27,9,39,0,0,0,0,2645.6666666666665,26374610.488888886,14134.0,2729.25,55.55555555555556,0.0,0.0
20967,9,126,21558,1236,2622,498,288,30,51,51,54,9,18,0,0,0,0,3167.8,50839800.56000002,21262.5,998.25,111.0,0.0,0.0
7245,9,186,6030,3390,7422,636,486,30,57,72,81,18,0,0,18,0,0,1710.8,7481209.760000001,6637.5,2751.75,153.33333333333334,9.0,0.0
4191,9,255,4476,618,13278,639,591,79,207,93,123,9,9,0,36,0,0,1638.4666666666667,11660893.848888885,4333.5,3540.0,194.44444444444446,18.0,0.0
2688,63,495,1602,228,7590,639,852,240,207,93,165,63,30,0,96,0,0,997.0,3604407.1999999997,2145.0,2094.0,254.33333333333334,48.0,0.0
