S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
17.0,20.0,3.0,13.0,0.0,17.0,1.3333333333333333,9.0,3.0,3.0,11.333333333333334,29.0,0.0,58.0,3.0,3.0,0.0,7.0,10.981481481481481,379.43106995884773,12.878787878787877,17.0,13.0,5.2
18.1,19.7,4.0,12.7,0.0,15.9,1.5,9.533333333333333,2.8333333333333335,3.0,10.5,28.4,0.3,54.9,3.0,3.0,0.0,7.0,10.798148148148147,362.42355967078186,12.53030303030303,15.9,12.7,5.586666666666667
19.2,19.4,5.0,12.4,0.0,14.8,1.6666666666666665,10.066666666666666,2.6666666666666665,3.0,9.666666666666668,27.8,0.6,51.8,3.0,3.0,0.0,7.0,10.614814814814814,345.41604938271604,12.18181818181818,14.8,12.4,5.973333333333334
20.3,19.1,6.0,12.1,0.0,13.7,1.8333333333333333,10.6,2.5,3.0,8.833333333333334,27.2,0.8999999999999999,48.7,3.0,3.0,0.0,7.0,10.43148148148148,328.40853909465017,11.833333333333332,13.7,12.1,6.359999999999999
21.4,18.8,7.0,11.8,0.0,12.6,2.0,11.133333333333333,2.333333333333333,3.0,8.0,26.6,1.2,45.6,3.0,3.0,0.0,7.0,10.248148148148147,311.40102880658435,11.484848484848484,12.6,11.8,6.746666666666666
22.5,18.5,8.0,11.5,0.0,11.5,2.166666666666667,11.666666666666668,2.1666666666666665,3.0,7.166666666666667,26.0,1.5,42.5,3.0,3.0,0.0,7.0,10.064814814814813,294.3935185185185,11.136363636363637,11.5,11.5,7.133333333333333
23.6,18.2,9.0,11.2,0.0,10.399999999999999,2.333333333333333,12.200000000000001,2.0,3.0,6.333333333333334,25.4,1.7999999999999998,39.4,3.0,3.0,0.0,7.0,9.88148148148148,277.3860082304526,10.787878787878787,10.399999999999999,11.2,7.52
24.700000000000003,17.9,10.0,10.9,0.0,9.299999999999999,2.5,12.733333333333334,1.8333333333333333,3.0,5.5,24.8,2.1,36.3,3.0,3.0,0.0,7.0,9.698148148148148,260.3784979423868,10.43939393939394,9.299999999999999,10.9,7.906666666666666
25.8,17.6,11.0,10.6,0.0,8.2,2.666666666666667,13.266666666666667,1.6666666666666665,3.0,4.666666666666667,24.2,2.4,33.2,3.0,3.0,0.0,7.0,9.514814814814814,243.37098765432094,10.09090909090909,8.2,10.6,8.293333333333333
26.9,17.3,12.0,10.3,0.0,7.1,2.8333333333333335,13.8,1.4999999999999998,3.0,3.833333333333334,23.6,2.6999999999999997,30.099999999999998,3.0,3.0,0.0,7.0,9.33148148148148,226.3634773662551,9.742424242424242,7.1,10.3,8.68
28.0,17.0,13.0,10.0,0.0,6.0,3.0,14.333333333333334,1.3333333333333333,3.0,3.0,23.0,3.0,27.0,3.0,3.0,0.0,7.0,9.148148148148147,209.35596707818925,9.393939393939394,6.0,10.0,9.066666666666666
25.9,16.0,12.3,9.3,6.2,7.8,3.0,15.5,1.9,3.2,2.7,22.3,4.6,24.6,3.8,3.0,0.0,6.3,9.355555555555554,251.41111111111107,9.272727272727273,7.8,9.3,9.86
23.8,15.0,11.6,8.6,12.4,9.6,3.0,16.666666666666668,2.466666666666667,3.4,2.4,21.6,6.2,22.2,4.6,3.0,0.0,5.6,9.562962962962962,293.46625514403286,9.151515151515152,9.6,8.6,10.653333333333332
21.7,14.0,10.9,7.9,18.6,11.4,3.0,17.833333333333332,3.033333333333333,3.6,2.1,20.9,7.800000000000001,19.8,5.4,3.0,0.0,4.9,9.77037037037037,335.5213991769547,9.030303030303031,11.4,7.9,11.446666666666665
19.6,13.0,10.2,7.2,24.8,13.2,3.0,19.0,3.5999999999999996,3.8,1.8,20.2,9.4,17.4,6.2,3.0,0.0,4.2,9.977777777777778,377.5765432098765,8.90909090909091,13.2,7.2,12.24
17.5,12.0,9.5,6.5,31.0,15.0,3.0,20.166666666666664,4.166666666666666,4.0,1.5,19.5,11.0,15.0,7.0,3.0,0.0,3.5,10.185185185185185,419.6316872427983,8.787878787878789,15.0,6.5,13.033333333333333
15.399999999999999,11.0,8.8,5.800000000000001,37.2,16.8,3.0,21.333333333333332,4.733333333333333,4.2,1.2000000000000002,18.8,12.600000000000001,12.600000000000001,7.800000000000001,3.0,0.0,2.8000000000000007,10.392592592592592,461.6868312757201,8.666666666666666,16.8,5.800000000000001,13.826666666666666
