S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
29.0,10.0,0.0,25.0,6.0,12.0,6.0,90.0,3.0,41.666666666666664,30.666666666666668,6.333333333333333,41.0,39.0,9.0,15.0,0.0,3.0,20.37037037037037,823.0596707818928,22.666666666666664,25.0,11.666666666666666,12.0
28.9,11.0,0.6,27.3,5.7,12.6,7.8,90.1,5.633333333333333,43.0,28.200000000000003,6.0,41.0,37.5,8.4,14.7,0.3,3.7,20.69074074074074,854.1640946502056,22.87179487179487,27.3,11.733333333333333,12.6
28.8,12.0,1.2,29.6,5.4,13.2,9.6,90.2,8.266666666666666,44.33333333333333,25.733333333333334,5.666666666666666,41.0,36.0,7.8,14.4,0.6,4.4,21.011111111111113,885.2685185185184,23.076923076923077,29.6,11.799999999999999,13.2
28.7,13.0,1.7999999999999998,31.9,5.1,13.8,11.4,90.3,10.9,45.666666666666664,23.266666666666666,5.333333333333333,41.0,34.5,7.2,14.1,0.8999999999999999,5.1,21.331481481481482,916.3729423868311,23.28205128205128,31.9,11.866666666666667,13.8
28.6,14.0,2.4,34.2,4.8,14.4,13.2,90.4,13.533333333333333,47.0,20.8,5.0,41.0,33.0,6.6,13.8,1.2,5.8,21.651851851851852,947.4773662551439,23.48717948717949,34.2,11.933333333333334,14.4
28.5,15.0,3.0,36.5,4.5,15.0,15.0,90.5,16.166666666666664,48.33333333333333,18.333333333333336,4.666666666666666,41.0,31.5,6.0,13.5,1.5,6.5,21.97222222222222,978.5817901234568,23.692307692307693,36.5,12.0,15.0
28.4,16.0,3.5999999999999996,38.8,4.2,15.6,16.8,90.6,18.8,49.666666666666664,15.866666666666667,4.333333333333333,41.0,30.0,5.4,13.2,1.7999999999999998,7.199999999999999,22.292592592592595,1009.6862139917696,23.897435897435898,38.8,12.066666666666666,15.6
28.3,17.0,4.2,41.099999999999994,3.9,16.2,18.6,90.7,21.433333333333334,51.0,13.400000000000002,4.0,41.0,28.5,4.8,12.9,2.1,7.8999999999999995,22.612962962962964,1040.7906378600824,24.102564102564106,41.099999999999994,12.133333333333333,16.2
28.2,18.0,4.8,43.4,3.6,16.8,20.4,90.8,24.066666666666666,52.33333333333333,10.933333333333334,3.6666666666666665,41.0,27.0,4.2,12.6,2.4,8.6,22.933333333333334,1071.8950617283951,24.30769230769231,43.4,12.200000000000001,16.8
28.1,19.0,5.3999999999999995,45.7,3.3000000000000003,17.4,22.2,90.9,26.7,53.666666666666664,8.466666666666665,3.333333333333333,41.0,25.5,3.6000000000000005,12.3,2.6999999999999997,9.3,23.253703703703707,1102.999485596708,24.512820512820518,45.7,12.266666666666667,17.4
28.0,20.0,6.0,48.0,3.0,18.0,24.0,91.0,29.333333333333332,55.0,6.0,3.0,41.0,24.0,3.0,12.0,3.0,10.0,23.574074074074076,1134.1039094650207,24.717948717948723,48.0,12.333333333333334,18.0
26.1,22.9,6.0,43.9,3.6,19.1,24.0,96.6,26.7,50.9,6.3,4.433333333333334,40.266666666666666,25.1,3.8,12.0,2.7,10.0,23.57777777777778,1188.8936213991772,25.05384615384616,43.9,11.9,19.1
24.2,25.8,6.0,39.8,4.2,20.2,24.0,102.2,24.066666666666666,46.8,6.6,5.866666666666666,39.53333333333333,26.2,4.6,12.0,2.4,10.0,23.581481481481482,1243.6833333333334,25.389743589743592,39.8,11.466666666666667,20.2
22.3,28.7,6.0,35.7,4.8,21.3,24.0,107.8,21.43333333333333,42.7,6.9,7.299999999999999,38.8,27.3,5.4,12.0,2.1,10.0,23.585185185185185,1298.4730452674899,25.72564102564103,35.7,11.033333333333333,21.3
20.4,31.6,6.0,31.6,5.4,22.4,24.0,113.4,18.799999999999997,38.6,7.2,8.733333333333333,38.06666666666666,28.4,6.2,12.0,1.8,10.0,23.58888888888889,1353.262757201646,26.061538461538465,31.6,10.6,22.4
18.5,34.5,6.0,27.5,6.0,23.5,24.0,119.0,16.166666666666664,34.5,7.5,10.166666666666666,37.33333333333333,29.5,7.0,12.0,1.5,10.0,23.592592592592595,1408.0524691358025,26.397435897435898,27.5,10.166666666666668,23.5
16.6,37.4,6.0,23.400000000000002,6.6,24.6,24.0,124.6,13.533333333333331,30.400000000000002,7.8,11.599999999999998,36.599999999999994,30.6,7.800000000000001,12.0,1.2000000000000002,10.0,23.5962962962963,1462.8421810699588,26.733333333333334,23.400000000000002,9.733333333333334,24.6
