S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
0.0,9.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,4.0,36.0,0.0,111.0,0.0,0.0,0.0,0.0,9.61111111111111,674.9043209876542,0.0,2.25,18.22222222222222,0.0,0.0
0.0,8.1,0.0,0.0,0.0,0.9,3.6,8.5,0.0,0.0,4.5,35.1,0.0,105.3,0.0,0.0,0.0,0.0,9.222222222222221,625.3783950617283,0.0,2.25,17.444444444444443,0.0,0.0
0.0,7.2,0.0,0.0,0.0,1.8,3.2,8.0,0.0,0.0,5.0,34.2,0.0,99.6,0.0,0.0,0.0,0.0,8.833333333333332,575.8524691358024,0.0,2.25,16.666666666666664,0.0,0.0
0.0,6.3,0.0,0.0,0.0,2.7,2.8,7.5,0.0,0.0,5.5,33.3,0.0,93.9,0.0,0.0,0.0,0.0,8.444444444444445,526.3265432098765,0.0,2.25,15.88888888888889,0.0,0.0
0.0,5.4,0.0,0.0,0.0,3.6,2.4,7.0,0.0,0.0,6.0,32.4,0.0,88.2,0.0,0.0,0.0,0.0,8.055555555555555,476.8006172839505,0.0,2.25,15.11111111111111,0.0,0.0
0.0,4.5,0.0,0.0,0.0,4.5,2.0,6.5,0.0,0.0,6.5,31.5,0.0,82.5,0.0,0.0,0.0,0.0,7.666666666666666,427.2746913580246,0.0,2.25,14.333333333333332,0.0,0.0
0.0,3.5999999999999996,0.0,0.0,0.0,5.4,1.5999999999999996,6.0,0.0,0.0,7.0,30.6,0.0,76.8,0.0,0.0,0.0,0.0,7.277777777777778,377.7487654320987,0.0,2.25,13.555555555555555,0.0,0.0
0.0,2.7,0.0,0.0,0.0,6.3,1.1999999999999997,5.5,0.0,0.0,7.5,29.7,0.0,71.1,0.0,0.0,0.0,0.0,6.888888888888889,328.22283950617276,0.0,2.25,12.777777777777779,0.0,0.0
0.0,1.7999999999999998,0.0,0.0,0.0,7.2,0.7999999999999998,5.0,0.0,0.0,8.0,28.8,0.0,65.4,0.0,0.0,0.0,0.0,6.5,278.69691358024687,0.0,2.25,12.0,0.0,0.0
0.0,0.9000000000000004,0.0,0.0,0.0,8.1,0.3999999999999999,4.5,0.0,0.0,8.5,27.9,0.0,59.699999999999996,0.0,0.0,0.0,0.0,6.111111111111111,229.17098765432098,0.0,2.25,11.222222222222221,0.0,0.0
