S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
30.0,30.0,0.0,66.0,0.0,9.0,0.0,66.0,0.0,80.0,88.0,0.0,87.0,33.0,0.0,9.0,0.0,9.0,28.166666666666668,1070.9166666666663,48.0,9.75,39.333333333333336,4.5,9.0
32.7,28.8,1.8,63.6,0.0,9.9,0.0,64.2,6.9,83.1,79.2,0.0,87.0,30.6,0.0,9.0,0.0,8.1,28.05,1074.8249999999996,48.15,10.125,39.0,4.5,8.1
35.4,27.6,3.6,61.2,0.0,10.8,0.0,62.4,13.8,86.2,70.4,0.0,87.0,28.2,0.0,9.0,0.0,7.2,27.933333333333334,1078.7333333333331,48.3,10.5,38.66666666666667,4.5,7.2
38.1,26.4,5.4,58.8,0.0,11.7,0.0,60.6,20.700000000000003,89.3,61.599999999999994,0.0,87.0,25.8,0.0,9.0,0.0,6.3,27.816666666666666,1082.6416666666664,48.45,10.875,38.333333333333336,4.5,6.3
40.8,25.2,7.2,56.4,0.0,12.6,0.0,58.8,27.6,92.4,52.8,0.0,87.0,23.4,0.0,9.0,0.0,5.4,27.7,1086.5499999999997,48.6,11.25,38.0,4.5,5.4
43.5,24.0,9.0,54.0,0.0,13.5,0.0,57.0,34.5,95.5,44.0,0.0,87.0,21.0,0.0,9.0,0.0,4.5,27.583333333333336,1090.458333333333,48.75,11.625,37.66666666666667,4.5,4.5
46.2,22.8,10.8,51.6,0.0,14.4,0.0,55.2,41.400000000000006,98.6,35.199999999999996,0.0,87.0,18.6,0.0,9.0,0.0,3.5999999999999996,27.46666666666667,1094.3666666666666,48.9,12.0,37.333333333333336,4.5,3.5999999999999996
48.900000000000006,21.6,12.6,49.2,0.0,15.3,0.0,53.4,48.300000000000004,101.7,26.39999999999999,0.0,87.0,16.2,0.0,9.0,0.0,2.7,27.35,1098.2749999999999,49.05,12.375,37.0,4.5,2.7
51.6,20.4,14.4,46.8,0.0,16.2,0.0,51.6,55.2,104.8,17.599999999999994,0.0,87.0,13.8,0.0,9.0,0.0,1.7999999999999998,27.233333333333334,1102.1833333333332,49.2,12.75,36.666666666666664,4.5,1.7999999999999998
54.3,19.200000000000003,16.2,44.400000000000006,0.0,17.1,0.0,49.8,62.1,107.9,8.799999999999997,0.0,87.0,11.400000000000002,0.0,9.0,0.0,0.9000000000000004,27.116666666666667,1106.0916666666667,49.35,13.125,36.333333333333336,4.5,0.9000000000000004
57.0,18.0,18.0,42.0,0.0,18.0,0.0,48.0,69.0,111.0,0.0,0.0,87.0,9.0,0.0,9.0,0.0,0.0,27.0,1110.0,49.5,13.5,36.0,4.5,0.0
53.1,18.0,18.0,39.9,0.9,21.9,0.0,48.0,63.0,99.9,0.9,0.0,83.5,9.0,0.0,8.1,0.0,0.0,25.788888888888888,1032.3543209876543,46.5,14.7,33.81111111111111,4.05,0.0
49.2,18.0,18.0,37.8,1.8,25.8,0.0,48.0,57.0,88.8,1.8,0.0,80.0,9.0,0.0,7.2,0.0,0.0,24.57777777777778,954.7086419753086,43.5,15.9,31.62222222222222,3.6,0.0
45.3,18.0,18.0,35.7,2.7,29.7,0.0,48.0,51.0,77.7,2.7,0.0,76.5,9.0,0.0,6.3,0.0,0.0,23.366666666666667,877.062962962963,40.5,17.1,29.433333333333334,3.15,0.0
41.4,18.0,18.0,33.6,3.6,33.6,0.0,48.0,45.0,66.6,3.6,0.0,73.0,9.0,0.0,5.4,0.0,0.0,22.155555555555555,799.4172839506173,37.5,18.3,27.244444444444444,2.7,0.0
37.5,18.0,18.0,31.5,4.5,37.5,0.0,48.0,39.0,55.5,4.5,0.0,69.5,9.0,0.0,4.5,0.0,0.0,20.944444444444443,721.7716049382716,34.5,19.5,25.055555555555554,2.25,0.0
33.6,18.0,18.0,29.4,5.4,41.4,0.0,48.0,33.0,44.400000000000006,5.4,0.0,66.0,9.0,0.0,3.5999999999999996,0.0,0.0,19.733333333333334,644.1259259259259,31.5,20.7,22.866666666666667,1.7999999999999998,0.0
29.7,18.0,18.0,27.299999999999997,6.3,45.3,0.0,48.0,27.0,33.3,6.3,0.0,62.5,9.0,0.0,2.7,0.0,0.0,18.522222222222222,566.4802469135802,28.5,21.9,20.677777777777777,1.35,0.0
25.8,18.0,18.0,25.2,7.2,49.2,0.0,48.0,21.0,22.200000000000003,7.2,0.0,59.0,9.0,0.0,1.7999999999999998,0.0,0.0,17.31111111111111,488.83456790123455,25.5,23.1,18.488888888888887,0.8999999999999999,0.0
21.9,18.0,18.0,23.099999999999998,8.1,53.1,0.0,48.0,15.0,11.100000000000009,8.1,0.0,55.5,9.0,0.0,0.9000000000000004,0.0,0.0,16.1,411.18888888888887,22.5,24.299999999999997,16.299999999999997,0.4500000000000002,0.0
18.0,18.0,18.0,21.0,9.0,57.0,0.0,48.0,9.0,0.0,9.0,0.0,52.0,9.0,0.0,0.0,0.0,0.0,14.88888888888889,333.54320987654324,19.5,25.5,14.11111111111111,0.0,0.0
17.1,17.1,17.1,18.9,9.0,52.2,0.9,54.3,9.0,0.9,8.1,0.0,49.5,9.0,0.0,0.9,0.0,0.0,14.666666666666668,361.1444444444445,18.0,23.85,14.633333333333333,0.45,0.0
16.2,16.2,16.2,16.8,9.0,47.4,1.8,60.6,9.0,1.8,7.2,0.0,47.0,9.0,0.0,1.8,0.0,0.0,14.444444444444445,388.74567901234576,16.5,22.2,15.155555555555555,0.9,0.0
15.3,15.3,15.3,14.7,9.0,42.6,2.7,66.9,9.0,2.7,6.3,0.0,44.5,9.0,0.0,2.7,0.0,0.0,14.222222222222221,416.346913580247,15.0,20.55,15.677777777777777,1.35,0.0
14.4,14.4,14.4,12.6,9.0,37.8,3.6,73.2,9.0,3.6,5.4,0.0,42.0,9.0,0.0,3.6,0.0,0.0,14.0,443.94814814814833,13.5,18.9,16.2,1.8,0.0
13.5,13.5,13.5,10.5,9.0,33.0,4.5,79.5,9.0,4.5,4.5,0.0,39.5,9.0,0.0,4.5,0.0,0.0,13.777777777777779,471.54938271604954,12.0,17.25,16.72222222222222,2.25,0.0
12.6,12.6,12.6,8.399999999999999,9.0,28.200000000000003,5.4,85.8,9.0,5.4,3.5999999999999996,0.0,37.0,9.0,0.0,5.4,0.0,0.0,13.555555555555555,499.15061728395085,10.5,15.600000000000001,17.244444444444444,2.7,0.0
11.7,11.7,11.7,6.299999999999999,9.0,23.4,6.3,92.1,9.0,6.3,2.7,0.0,34.5,9.0,0.0,6.3,0.0,0.0,13.333333333333332,526.751851851852,9.0,13.950000000000001,17.766666666666666,3.15,0.0
10.8,10.8,10.8,4.199999999999999,9.0,18.6,7.2,98.4,9.0,7.2,1.7999999999999998,0.0,32.0,9.0,0.0,7.2,0.0,0.0,13.11111111111111,554.3530864197534,7.5,12.3,18.288888888888888,3.6,0.0
9.9,9.9,9.9,2.099999999999998,9.0,13.800000000000004,8.1,104.69999999999999,9.0,8.1,0.9000000000000004,0.0,29.5,9.0,0.0,8.1,0.0,0.0,12.88888888888889,581.9543209876547,6.0,10.65,18.81111111111111,4.05,0.0
9.0,9.0,9.0,0.0,9.0,9.0,9.0,111.0,9.0,9.0,0.0,0.0,27.0,9.0,0.0,9.0,0.0,0.0,12.666666666666666,609.5555555555559,4.5,9.0,19.333333333333332,4.5,0.0
9.0,9.0,9.9,0.0,8.1,11.1,9.0,105.0,9.0,11.4,0.9,0.0,26.1,8.1,0.0,9.0,0.0,0.0,12.533333333333333,567.5555555555559,4.5,9.525,18.833333333333332,4.5,0.0
9.0,9.0,10.8,0.0,7.2,13.2,9.0,99.0,9.0,13.8,1.8,0.0,25.2,7.2,0.0,9.0,0.0,0.0,12.4,525.5555555555558,4.5,10.05,18.333333333333332,4.5,0.0
9.0,9.0,11.7,0.0,6.3,15.3,9.0,93.0,9.0,16.2,2.7,0.0,24.3,6.3,0.0,9.0,0.0,0.0,12.266666666666666,483.55555555555577,4.5,10.575,17.833333333333332,4.5,0.0
9.0,9.0,12.6,0.0,5.4,17.4,9.0,87.0,9.0,18.6,3.6,0.0,23.4,5.4,0.0,9.0,0.0,0.0,12.133333333333333,441.55555555555577,4.5,11.1,17.333333333333332,4.5,0.0
9.0,9.0,13.5,0.0,4.5,19.5,9.0,81.0,9.0,21.0,4.5,0.0,22.5,4.5,0.0,9.0,0.0,0.0,12.0,399.5555555555557,4.5,11.625,16.833333333333332,4.5,0.0
9.0,9.0,14.4,0.0,3.5999999999999996,21.6,9.0,75.0,9.0,23.4,5.4,0.0,21.6,3.5999999999999996,0.0,9.0,0.0,0.0,11.866666666666667,357.55555555555566,4.5,12.15,16.333333333333332,4.5,0.0
9.0,9.0,15.3,0.0,2.7,23.700000000000003,9.0,69.0,9.0,25.8,6.3,0.0,20.7,2.7,0.0,9.0,0.0,0.0,11.733333333333334,315.55555555555566,4.5,12.675,15.833333333333334,4.5,0.0
9.0,9.0,16.2,0.0,1.7999999999999998,25.8,9.0,63.0,9.0,28.2,7.2,0.0,19.8,1.7999999999999998,0.0,9.0,0.0,0.0,11.6,273.5555555555556,4.5,13.2,15.333333333333334,4.5,0.0
9.0,9.0,17.1,0.0,0.9000000000000004,27.900000000000002,9.0,57.0,9.0,30.599999999999998,8.1,0.0,18.9,0.9000000000000004,0.0,9.0,0.0,0.0,11.466666666666667,231.55555555555554,4.5,13.725000000000001,14.833333333333334,4.5,0.0
9.0,9.0,18.0,0.0,0.0,30.0,9.0,51.0,9.0,33.0,9.0,0.0,18.0,0.0,0.0,9.0,0.0,0.0,11.333333333333334,189.55555555555551,4.5,14.25,14.333333333333334,4.5,0.0
9.0,9.0,17.1,0.0,2.7,30.0,9.0,46.8,8.1,33.0,9.0,0.0,18.0,0.0,0.0,8.1,0.0,0.0,11.100000000000001,182.09999999999997,4.5,14.7,13.766666666666667,4.05,0.0
9.0,9.0,16.2,0.0,5.4,30.0,9.0,42.6,7.2,33.0,9.0,0.0,18.0,0.0,0.0,7.2,0.0,0.0,10.866666666666667,174.64444444444442,4.5,15.15,13.200000000000001,3.6,0.0
9.0,9.0,15.3,0.0,8.100000000000001,30.0,9.0,38.4,6.3,33.0,9.0,0.0,18.0,0.0,0.0,6.3,0.0,0.0,10.633333333333333,167.18888888888887,4.5,15.6,12.633333333333333,3.15,0.0
9.0,9.0,14.4,0.0,10.8,30.0,9.0,34.2,5.4,33.0,9.0,0.0,18.0,0.0,0.0,5.4,0.0,0.0,10.4,159.73333333333332,4.5,16.05,12.066666666666666,2.7,0.0
9.0,9.0,13.5,0.0,13.5,30.0,9.0,30.0,4.5,33.0,9.0,0.0,18.0,0.0,0.0,4.5,0.0,0.0,10.166666666666668,152.27777777777777,4.5,16.5,11.5,2.25,0.0
9.0,9.0,12.6,0.0,16.200000000000003,30.0,9.0,25.799999999999997,3.5999999999999996,33.0,9.0,0.0,18.0,0.0,0.0,3.5999999999999996,0.0,0.0,9.933333333333334,144.8222222222222,4.5,16.95,10.933333333333334,1.7999999999999998,0.0
9.0,9.0,11.7,0.0,18.900000000000002,30.0,9.0,21.599999999999998,2.7,33.0,9.0,0.0,18.0,0.0,0.0,2.7,0.0,0.0,9.7,137.36666666666665,4.5,17.4,10.366666666666667,1.35,0.0
9.0,9.0,10.8,0.0,21.6,30.0,9.0,17.4,1.7999999999999998,33.0,9.0,0.0,18.0,0.0,0.0,1.7999999999999998,0.0,0.0,9.466666666666667,129.9111111111111,4.5,17.85,9.8,0.8999999999999999,0.0
9.0,9.0,9.9,0.0,24.3,30.0,9.0,13.199999999999996,0.9000000000000004,33.0,9.0,0.0,18.0,0.0,0.0,0.9000000000000004,0.0,0.0,9.233333333333334,122.45555555555555,4.5,18.3,9.233333333333334,0.4500000000000002,0.0
9.0,9.0,9.0,0.0,27.0,30.0,9.0,9.0,0.0,33.0,9.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,9.0,115.0,4.5,18.75,8.666666666666666,0.0,0.0
11.1,10.2,10.8,2.1,28.8,27.0,8.5,9.0,0.0,33.0,8.5,0.0,16.2,0.9,0.0,0.0,0.0,0.0,9.227777777777778,123.10895061728394,6.6,19.2,8.455555555555556,0.0,0.0
13.2,11.4,12.6,4.2,30.6,24.0,8.0,9.0,0.0,33.0,8.0,0.0,14.4,1.8,0.0,0.0,0.0,0.0,9.455555555555556,131.21790123456788,8.7,19.65,8.244444444444444,0.0,0.0
15.3,12.6,14.4,6.300000000000001,32.4,21.0,7.5,9.0,0.0,33.0,7.5,0.0,12.6,2.7,0.0,0.0,0.0,0.0,9.683333333333334,139.3268518518518,10.8,20.1,8.033333333333333,0.0,0.0
17.4,13.8,16.2,8.4,34.2,18.0,7.0,9.0,0.0,33.0,7.0,0.0,10.8,3.6,0.0,0.0,0.0,0.0,9.911111111111111,147.43580246913575,12.9,20.55,7.822222222222222,0.0,0.0
19.5,15.0,18.0,10.5,36.0,15.0,6.5,9.0,0.0,33.0,6.5,0.0,9.0,4.5,0.0,0.0,0.0,0.0,10.13888888888889,155.5447530864197,15.0,21.0,7.611111111111111,0.0,0.0
21.6,16.2,19.8,12.600000000000001,37.8,12.0,6.0,9.0,0.0,33.0,6.0,0.0,7.199999999999999,5.4,0.0,0.0,0.0,0.0,10.366666666666667,163.65370370370366,17.1,21.45,7.3999999999999995,0.0,0.0
23.700000000000003,17.4,21.6,14.700000000000001,39.6,9.0,5.5,9.0,0.0,33.0,5.5,0.0,5.4,6.3,0.0,0.0,0.0,0.0,10.594444444444445,171.7626543209876,19.200000000000003,21.9,7.188888888888888,0.0,0.0
25.8,18.6,23.4,16.8,41.4,6.0,5.0,9.0,0.0,33.0,5.0,0.0,3.5999999999999996,7.2,0.0,0.0,0.0,0.0,10.822222222222223,179.87160493827153,21.3,22.35,6.977777777777778,0.0,0.0
