S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
39.0,0.0,0.0,0.0,9.0,9.0,0.0,87.0,0.0,45.0,0.0,4.0,9.0,75.0,0.0,0.0,0.0,0.0,15.38888888888889,707.5709876543211,22.666666666666664,25.0,11.666666666666666,12.0
36.0,0.0,0.0,9.3,8.1,8.1,7.2,83.1,0.0,45.0,0.0,3.6,9.0,72.0,0.0,0.9,0.0,3.0,15.85,715.313888888889,22.87179487179487,27.3,11.733333333333333,12.6
33.0,0.0,0.0,18.6,7.2,7.2,14.4,79.2,0.0,45.0,0.0,3.2,9.0,69.0,0.0,1.8,0.0,6.0,16.31111111111111,723.056790123457,23.076923076923077,29.6,11.799999999999999,13.2
30.0,0.0,0.0,27.900000000000002,6.3,6.3,21.6,75.3,0.0,45.0,0.0,2.8,9.0,66.0,0.0,2.7,0.0,9.0,16.772222222222222,730.7996913580248,23.28205128205128,31.9,11.866666666666667,13.8
27.0,0.0,0.0,37.2,5.4,5.4,28.8,71.4,0.0,45.0,0.0,2.4,9.0,63.0,0.0,3.6,0.0,12.0,17.233333333333334,738.5425925925927,23.48717948717949,34.2,11.933333333333334,14.4
24.0,0.0,0.0,46.5,4.5,4.5,36.0,67.5,0.0,45.0,0.0,2.0,9.0,60.0,0.0,4.5,0.0,15.0,17.694444444444443,746.2854938271605,23.692307692307693,36.5,12.0,15.0
21.0,0.0,0.0,55.800000000000004,3.5999999999999996,3.5999999999999996,43.2,63.6,0.0,45.0,0.0,1.5999999999999996,9.0,57.0,0.0,5.4,0.0,18.0,18.155555555555555,754.0283950617285,23.897435897435898,38.8,12.066666666666666,15.6
18.0,0.0,0.0,65.10000000000001,2.7,2.7,50.4,59.7,0.0,45.0,0.0,1.1999999999999997,9.0,54.0,0.0,6.3,0.0,21.0,18.616666666666667,761.7712962962963,24.102564102564106,41.099999999999994,12.133333333333333,16.2
15.0,0.0,0.0,74.4,1.7999999999999998,1.7999999999999998,57.6,55.8,0.0,45.0,0.0,0.7999999999999998,9.0,51.0,0.0,7.2,0.0,24.0,19.07777777777778,769.5141975308642,24.30769230769231,43.4,12.200000000000001,16.8
12.0,0.0,0.0,83.7,0.9000000000000004,0.9000000000000004,64.8,51.9,0.0,45.0,0.0,0.3999999999999999,9.0,48.0,0.0,8.1,0.0,27.0,19.538888888888888,777.2570987654321,24.512820512820518,45.7,12.266666666666667,17.4
