S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
0.0,9.0,0.0,0.0,72.0,135.0,9.0,21.0,15.0,0.0,39.0,18.0,27.0,0.0,9.0,78.0,9.0,96.0,29.833333333333332,1458.472222222222,23.11111111111111,45.0,39.0,24.166666666666668
0.0,9.0,5.1,0.0,72.0,124.8,9.0,21.0,15.6,0.0,39.0,18.0,26.1,0.0,10.8,72.9,9.0,99.9,29.566666666666666,1415.772222222222,22.596296296296295,41.6,39.85,24.85
0.0,9.0,10.2,0.0,72.0,114.6,9.0,21.0,16.2,0.0,39.0,18.0,25.2,0.0,12.6,67.8,9.0,103.8,29.3,1373.0722222222219,22.081481481481482,38.2,40.7,25.533333333333335
0.0,9.0,15.299999999999999,0.0,72.0,104.4,9.0,21.0,16.8,0.0,39.0,18.0,24.3,0.0,14.4,62.7,9.0,107.7,29.03333333333333,1330.3722222222218,21.566666666666666,34.8,41.55,26.21666666666667
0.0,9.0,20.4,0.0,72.0,94.2,9.0,21.0,17.4,0.0,39.0,18.0,23.4,0.0,16.2,57.6,9.0,111.6,28.766666666666666,1287.672222222222,21.05185185185185,31.4,42.4,26.900000000000002
0.0,9.0,25.5,0.0,72.0,84.0,9.0,21.0,18.0,0.0,39.0,18.0,22.5,0.0,18.0,52.5,9.0,115.5,28.5,1244.972222222222,20.537037037037038,28.0,43.25,27.583333333333336
0.0,9.0,30.599999999999998,0.0,72.0,73.80000000000001,9.0,21.0,18.6,0.0,39.0,18.0,21.6,0.0,19.8,47.400000000000006,9.0,119.4,28.233333333333334,1202.272222222222,20.022222222222222,24.6,44.1,28.266666666666666
0.0,9.0,35.699999999999996,0.0,72.0,63.60000000000001,9.0,21.0,19.2,0.0,39.0,18.0,20.7,0.0,21.6,42.300000000000004,9.0,123.3,27.96666666666667,1159.5722222222219,19.507407407407406,21.2,44.95,28.95
0.0,9.0,40.8,0.0,72.0,53.400000000000006,9.0,21.0,19.8,0.0,39.0,18.0,19.8,0.0,23.4,37.2,9.0,127.2,27.7,1116.8722222222218,18.992592592592594,17.8,45.8,29.633333333333333
0.0,9.0,45.9,0.0,72.0,43.2,9.0,21.0,20.4,0.0,39.0,18.0,18.9,0.0,25.2,32.1,9.0,131.1,27.433333333333334,1074.172222222222,18.477777777777778,14.400000000000002,46.65,30.316666666666666
0.0,9.0,51.0,0.0,72.0,33.0,9.0,21.0,21.0,0.0,39.0,18.0,18.0,0.0,27.0,27.0,9.0,135.0,27.166666666666668,1031.472222222222,17.962962962962962,11.0,47.5,31.0
0.0,12.0,46.8,0.0,65.7,29.7,10.8,21.0,21.0,0.0,37.0,17.1,22.8,0.0,27.0,25.2,8.1,127.2,26.18888888888889,965.5932098765429,17.962962962962962,10.6,43.8,29.522222222222222
0.0,15.0,42.6,0.0,59.4,26.4,12.6,21.0,21.0,0.0,35.0,16.2,27.6,0.0,27.0,23.4,7.2,119.4,25.211111111111112,899.714197530864,17.962962962962962,10.2,40.1,28.044444444444444
0.0,18.0,38.4,0.0,53.1,23.1,14.4,21.0,21.0,0.0,33.0,15.3,32.4,0.0,27.0,21.6,6.3,111.6,24.233333333333334,833.835185185185,17.962962962962962,9.8,36.4,26.56666666666667
0.0,21.0,34.2,0.0,46.8,19.8,16.2,21.0,21.0,0.0,31.0,14.4,37.2,0.0,27.0,19.8,5.4,103.8,23.255555555555556,767.956172839506,17.962962962962962,9.4,32.7,25.08888888888889
0.0,24.0,30.0,0.0,40.5,16.5,18.0,21.0,21.0,0.0,29.0,13.5,42.0,0.0,27.0,18.0,4.5,96.0,22.27777777777778,702.077160493827,17.962962962962962,9.0,29.0,23.611111111111114
0.0,27.0,25.799999999999997,0.0,34.2,13.200000000000003,19.8,21.0,21.0,0.0,27.0,12.6,46.8,0.0,27.0,16.2,3.5999999999999996,88.2,21.3,636.198148148148,17.962962962962962,8.6,25.299999999999997,22.133333333333336
0.0,30.0,21.599999999999998,0.0,27.9,9.900000000000002,21.6,21.0,21.0,0.0,25.0,11.7,51.6,0.0,27.0,14.4,2.7,80.4,20.322222222222223,570.319135802469,17.962962962962962,8.2,21.599999999999998,20.65555555555556
