S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
18.0,0.0,0.0,9.0,9.0,18.0,18.0,117.0,9.0,0.0,4.0,15.0,27.0,9.0,27.0,36.0,0.0,0.0,18.666666666666668,763.8222222222225,35.4,9.571428571428571,4.5,15.75
18.0,4.2,0.0,9.0,9.0,19.8,16.2,123.0,10.0,0.9,5.4,14.4,27.0,9.9,25.2,34.2,0.9,0.0,19.46666666666667,862.0355555555558,36.839999999999996,10.514285714285714,4.5,15.075
18.0,8.4,0.0,9.0,9.0,21.6,14.4,129.0,11.0,1.8,6.8,13.8,27.0,10.8,23.4,32.4,1.8,0.0,20.26666666666667,960.248888888889,38.28,11.457142857142857,4.5,14.4
18.0,12.600000000000001,0.0,9.0,9.0,23.4,12.6,135.0,12.0,2.7,8.2,13.2,27.0,11.7,21.6,30.6,2.7,0.0,21.06666666666667,1058.4622222222224,39.72,12.399999999999999,4.5,13.725
18.0,16.8,0.0,9.0,9.0,25.2,10.8,141.0,13.0,3.6,9.6,12.6,27.0,12.6,19.8,28.8,3.6,0.0,21.866666666666667,1156.6755555555555,41.16,13.342857142857142,4.5,13.05
18.0,21.0,0.0,9.0,9.0,27.0,9.0,147.0,14.0,4.5,11.0,12.0,27.0,13.5,18.0,27.0,4.5,0.0,22.666666666666668,1254.8888888888887,42.599999999999994,14.285714285714285,4.5,12.375
18.0,25.200000000000003,0.0,9.0,9.0,28.8,7.199999999999999,153.0,15.0,5.4,12.399999999999999,11.4,27.0,14.4,16.2,25.2,5.4,0.0,23.46666666666667,1353.102222222222,44.04,15.228571428571428,4.5,11.7
18.0,29.400000000000002,0.0,9.0,9.0,30.6,5.4,159.0,16.0,6.3,13.799999999999999,10.8,27.0,15.3,14.4,23.4,6.3,0.0,24.26666666666667,1451.3155555555554,45.48,16.17142857142857,4.5,11.024999999999999
18.0,33.6,0.0,9.0,9.0,32.4,3.5999999999999996,165.0,17.0,7.2,15.2,10.2,27.0,16.2,12.6,21.6,7.2,0.0,25.06666666666667,1549.5288888888886,46.92,17.114285714285714,4.5,10.35
18.0,37.800000000000004,0.0,9.0,9.0,34.2,1.8000000000000007,171.0,18.0,8.1,16.6,9.600000000000001,27.0,17.1,10.8,19.8,8.1,0.0,25.866666666666667,1647.7422222222217,48.36,18.057142857142857,4.5,9.675
18.0,42.0,0.0,9.0,9.0,36.0,0.0,177.0,19.0,9.0,18.0,9.0,27.0,18.0,9.0,18.0,9.0,0.0,26.666666666666668,1745.955555555555,49.8,19.0,4.5,9.0
16.2,42.9,0.0,8.1,8.1,35.4,0.0,183.3,17.1,9.0,18.0,13.3,26.5,25.8,11.4,18.9,8.1,0.0,27.673333333333336,1936.419555555555,51.26,19.9,4.05,9.6
14.4,43.8,0.0,7.2,7.2,34.8,0.0,189.6,15.2,9.0,18.0,17.6,26.0,33.6,13.8,19.8,7.2,0.0,28.68,2126.8835555555547,52.72,20.8,3.6,10.2
12.6,44.7,0.0,6.3,6.3,34.2,0.0,195.9,13.3,9.0,18.0,21.9,25.5,41.4,16.2,20.7,6.3,0.0,29.686666666666667,2317.3475555555547,54.18,21.7,3.15,10.8
10.8,45.6,0.0,5.4,5.4,33.6,0.0,202.2,11.4,9.0,18.0,26.2,25.0,49.2,18.6,21.6,5.4,0.0,30.693333333333335,2507.8115555555546,55.64,22.6,2.7,11.4
9.0,46.5,0.0,4.5,4.5,33.0,0.0,208.5,9.5,9.0,18.0,30.5,24.5,57.0,21.0,22.5,4.5,0.0,31.700000000000003,2698.2755555555545,57.1,23.5,2.25,12.0
7.199999999999999,47.4,0.0,3.5999999999999996,3.5999999999999996,32.4,0.0,214.8,7.600000000000001,9.0,18.0,34.8,24.0,64.8,23.4,23.4,3.5999999999999996,0.0,32.70666666666666,2888.7395555555545,58.56,24.4,1.7999999999999998,12.6
5.4,48.3,0.0,2.7,2.7,31.8,0.0,221.1,5.700000000000001,9.0,18.0,39.099999999999994,23.5,72.6,25.8,24.3,2.7,0.0,33.71333333333333,3079.2035555555544,60.02,25.3,1.35,13.2
3.5999999999999996,49.2,0.0,1.7999999999999998,1.7999999999999998,31.2,0.0,227.4,3.8000000000000007,9.0,18.0,43.4,23.0,80.4,28.2,25.2,1.7999999999999998,0.0,34.72,3269.6675555555544,61.480000000000004,26.2,0.8999999999999999,13.8
1.8000000000000007,50.1,0.0,0.9000000000000004,0.9000000000000004,30.6,0.0,233.7,1.9000000000000021,9.0,18.0,47.699999999999996,22.5,88.2,30.599999999999998,26.1,0.9000000000000004,0.0,35.72666666666667,3460.1315555555543,62.940000000000005,27.1,0.4500000000000002,14.399999999999999
0.0,51.0,0.0,0.0,0.0,30.0,0.0,240.0,0.0,9.0,18.0,52.0,22.0,96.0,33.0,27.0,0.0,0.0,36.733333333333334,3650.5955555555543,64.4,28.0,0.0,15.0
9.6,48.9,0.0,0.0,1.8,29.1,0.0,230.4,0.0,8.1,18.0,56.4,21.6,98.4,33.0,24.3,0.0,3.0,37.02,3508.5199999999986,65.46000000000001,27.857142857142858,0.0,15.075
19.2,46.8,0.0,0.0,3.6,28.2,0.0,220.8,0.0,7.2,18.0,60.8,21.2,100.8,33.0,21.6,0.0,6.0,37.306666666666665,3366.4444444444434,66.52000000000001,27.714285714285715,0.0,15.15
28.799999999999997,44.7,0.0,0.0,5.4,27.3,0.0,211.2,0.0,6.3,18.0,65.2,20.8,103.2,33.0,18.9,0.0,9.0,37.593333333333334,3224.3688888888883,67.58,27.571428571428573,0.0,15.225
38.4,42.6,0.0,0.0,7.2,26.4,0.0,201.6,0.0,5.4,18.0,69.6,20.4,105.6,33.0,16.2,0.0,12.0,37.88,3082.2933333333326,68.64,27.42857142857143,0.0,15.3
48.0,40.5,0.0,0.0,9.0,25.5,0.0,192.0,0.0,4.5,18.0,74.0,20.0,108.0,33.0,13.5,0.0,15.0,38.16666666666667,2940.217777777777,69.7,27.285714285714285,0.0,15.375
57.599999999999994,38.4,0.0,0.0,10.8,24.6,0.0,182.4,0.0,3.5999999999999996,18.0,78.4,19.6,110.4,33.0,10.799999999999997,0.0,18.0,38.45333333333333,2798.142222222222,70.76,27.142857142857142,0.0,15.45
