S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
0.0,9.0,0.0,0.0,72.0,135.0,9.0,21.0,15.0,0.0,39.0,18.0,27.0,0.0,9.0,78.0,9.0,96.0,23.6,1235.84,45.0,17.142857142857142,0.0,48.0
0.0,9.0,5.1,0.0,72.0,124.8,9.0,21.0,15.6,0.0,39.0,18.0,26.1,0.0,10.8,72.9,9.0,99.9,23.36,1152.752,42.96,17.1,2.55,48.15
0.0,9.0,10.2,0.0,72.0,114.6,9.0,21.0,16.2,0.0,39.0,18.0,25.2,0.0,12.6,67.8,9.0,103.8,23.12,1069.664,40.92,17.057142857142857,5.1,48.3
0.0,9.0,15.299999999999999,0.0,72.0,104.4,9.0,21.0,16.8,0.0,39.0,18.0,24.3,0.0,14.4,62.7,9.0,107.7,22.880000000000003,986.5759999999999,38.88,17.014285714285712,7.6499999999999995,48.45
0.0,9.0,20.4,0.0,72.0,94.2,9.0,21.0,17.4,0.0,39.0,18.0,23.4,0.0,16.2,57.6,9.0,111.6,22.64,903.4879999999999,36.84,16.97142857142857,10.2,48.6
0.0,9.0,25.5,0.0,72.0,84.0,9.0,21.0,18.0,0.0,39.0,18.0,22.5,0.0,18.0,52.5,9.0,115.5,22.4,820.4,34.8,16.92857142857143,12.75,48.75
0.0,9.0,30.599999999999998,0.0,72.0,73.80000000000001,9.0,21.0,18.6,0.0,39.0,18.0,21.6,0.0,19.8,47.400000000000006,9.0,119.4,22.16,737.3119999999999,32.76,16.885714285714286,15.299999999999999,48.9
0.0,9.0,35.699999999999996,0.0,72.0,63.60000000000001,9.0,21.0,19.2,0.0,39.0,18.0,20.7,0.0,21.6,42.300000000000004,9.0,123.3,21.92,654.2239999999999,30.72,16.84285714285714,17.849999999999998,49.05
0.0,9.0,40.8,0.0,72.0,53.400000000000006,9.0,21.0,19.8,0.0,39.0,18.0,19.8,0.0,23.4,37.2,9.0,127.2,21.68,571.136,28.68,16.8,20.4,49.2
0.0,9.0,45.9,0.0,72.0,43.2,9.0,21.0,20.4,0.0,39.0,18.0,18.9,0.0,25.2,32.1,9.0,131.1,21.439999999999998,488.048,26.64,16.75714285714286,22.95,49.35
0.0,9.0,51.0,0.0,72.0,33.0,9.0,21.0,21.0,0.0,39.0,18.0,18.0,0.0,27.0,27.0,9.0,135.0,21.2,404.9599999999999,24.6,16.714285714285715,25.5,49.5
0.0,12.0,46.8,0.0,65.7,29.7,10.8,21.0,21.0,0.0,37.0,17.1,22.8,0.0,27.0,25.2,8.1,127.2,20.726666666666667,396.1555555555555,22.5,17.8,23.4,46.875
0.0,15.0,42.6,0.0,59.4,26.4,12.6,21.0,21.0,0.0,35.0,16.2,27.6,0.0,27.0,23.4,7.2,119.4,20.253333333333334,387.35111111111104,20.400000000000002,18.885714285714286,21.3,44.25
0.0,18.0,38.4,0.0,53.1,23.1,14.4,21.0,21.0,0.0,33.0,15.3,32.4,0.0,27.0,21.6,6.3,111.6,19.779999999999998,378.5466666666666,18.3,19.97142857142857,19.2,41.625
0.0,21.0,34.2,0.0,46.8,19.8,16.2,21.0,21.0,0.0,31.0,14.4,37.2,0.0,27.0,19.8,5.4,103.8,19.306666666666665,369.74222222222215,16.200000000000003,21.057142857142857,17.1,39.0
0.0,24.0,30.0,0.0,40.5,16.5,18.0,21.0,21.0,0.0,29.0,13.5,42.0,0.0,27.0,18.0,4.5,96.0,18.833333333333332,360.93777777777774,14.100000000000001,22.142857142857146,15.0,36.375
0.0,27.0,25.799999999999997,0.0,34.2,13.200000000000003,19.8,21.0,21.0,0.0,27.0,12.6,46.8,0.0,27.0,16.2,3.5999999999999996,88.2,18.36,352.1333333333333,12.0,23.22857142857143,12.899999999999999,33.75
